,0,1,2,3
0,Mã ngành: 7140201,Tên ngành: Giáo dục Mầm non,Tổ hợp môn:,NV1: 18.25
1,Mã ngành: 7140202,Tên ngành: Giáo dục Tiểu học,Tổ hợp môn:,NV1: 22.75
2,Mã ngành: 7140205,Tên ngành: GD Chính trị,Tổ hợp môn:,NV1: 20.00
3,Mã ngành: 7140209,Tên ngành: SP Toán học,Tổ hợp môn:,NV1: 21.00
4,Mã ngành: 7140211,Tên ngành: SP Vật lý,Tổ hợp môn:,NV1: 19.00
5,Mã ngành: 7140212,Tên ngành: SP Hóa học,Tổ hợp môn:,NV1: 20.25
6,Mã ngành: 7140213,Tên ngành: SP Sinh học,Tổ hợp môn:,NV1: 17.25
7,Mã ngành: 7140217,Tên ngành: SP Ngữ văn,Tổ hợp môn:,NV1: 20.75
8,Mã ngành: 7140218,Tên ngành: SP Lịch sử,Tổ hợp môn:,NV1: 19.50
9,Mã ngành: 7140219,Tên ngành: SP Địa lý,Tổ hợp môn:,NV1: 20.25
10,Mã ngành: 7140231,Tên ngành: SP Tiếng Anh,Tổ hợp môn:,NV1: 26.67
11,Mã ngành: 7220113,Tên ngành: Việt Nam học (VH du lịch),Tổ hợp môn:,NV1: 20.75
12,Mã ngành: 7220201,Tên ngành: Ngôn ngữ Anh,Tổ hợp môn:,NV1: 26.42
13,Mã ngành: 7310106,Tên ngành: Kinh tế Quốc tế,Tổ hợp môn:,NV1: 18.00
14,Mã ngành: 7340101,Tên ngành: Quản trị Kinh doanh,Tổ hợp môn:,NV1: 18.75
15,Mã ngành: 7340201,Tên ngành: Tài chính-Ngân hàng,Tổ hợp môn:,NV1: 17.50
16,Mã ngành: 7340203,Tên ngành: Tài chính Doanh nghiệp,Tổ hợp môn:,NV1: 17.25
17,Mã ngành: 7340301,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 18.75
18,Mã ngành: 7420201,Tên ngành: Công nghệ Sinh học,Tổ hợp môn:,NV1: 18.50
19,Mã ngành: 7480103,Tên ngành: Kỹ thuật phần mềm,Tổ hợp môn:,NV1: 16.25
20,Mã ngành: 7480201,Tên ngành: Công nghệ Thông tin,Tổ hợp môn:,NV1: 18.00
21,Mã ngành: 7510406,Tên ngành: Công nghệ Kỹ thuật môi trường,Tổ hợp môn:,NV1: 16.75
22,Mã ngành: 7540101,Tên ngành: Công nghệ thực phẩm,Tổ hợp môn:,NV1: 19.00
23,Mã ngành: 7620105,Tên ngành: Chăn nuôi,Tổ hợp môn:,NV1: 16.25
24,Mã ngành: 7620110,Tên ngành: Khoa học Cây trồng,Tổ hợp môn:,NV1: 18.25
25,Mã ngành: 7620112,Tên ngành: Bảo vệ Thực vật,Tổ hợp môn:,NV1: 20.00
26,Mã ngành: 7620116,Tên ngành: Phát triển Nông thôn,Tổ hợp môn:,NV1: 17.50
27,Mã ngành: 7620301,Tên ngành: Nuôi trồng Thủy sản,Tổ hợp môn:,NV1: 17.25
28,Mã ngành: 7850101,Tên ngành: Quản lý tài nguyên và môi trường,Tổ hợp môn:,NV1: 17.50
29,Mã ngành: C140201,Tên ngành: Giáo dục Mầm non,Tổ hợp môn:,NV1: 15.50
30,Mã ngành: C140202,Tên ngành: Giáo dục Tiểu học,Tổ hợp môn:,NV1: 19.25
31,Mã ngành: C140206,Tên ngành: Giáo dục Thể chất,Tổ hợp môn:,NV1: 12.83
32,Mã ngành: C140210,Tên ngành: SP Tin học,Tổ hợp môn:,NV1: 15.00
33,Mã ngành: C140231,Tên ngành: SP Tiếng Anh,Tổ hợp môn:,NV1: 20.00
34,Mã ngành: C220113,Tên ngành: Việt Nam học (VH du lịch),Tổ hợp môn:,NV1: 16.25
35,Mã ngành: C420201,Tên ngành: Công nghệ Sinh học,Tổ hợp môn:,NV1: 14.50
36,Mã ngành: C420203,Tên ngành: Sinh học ứng dụng,Tổ hợp môn:,NV1: 12.00
37,Mã ngành: C480201,Tên ngành: Công nghệ Thông tin,Tổ hợp môn:,NV1: 15.25
38,Mã ngành: C540102,Tên ngành: Công nghệ Thực phẩm,Tổ hợp môn:,NV1: 15.25
39,Mã ngành: C620105,Tên ngành: Chăn nuôi,Tổ hợp môn:,NV1: 12.00
40,Mã ngành: C620110,Tên ngành: Khoa học Cây trồng,Tổ hợp môn:,NV1: 13.50
41,Mã ngành: C620112,Tên ngành: Bảo vệ Thực vật,Tổ hợp môn:,NV1: 15.50
42,Mã ngành: C620116,Tên ngành: Phát triển Nông thôn,Tổ hợp môn:,NV1: 14.25
43,Mã ngành: C620301,Tên ngành: Nuôi trồng Thủy sản,Tổ hợp môn:,NV1: 13.25
44,,,,
45,,,,
46,,,,
47,,,,
48,,,,
49,,,,
50,,,,
51,,,,
52,,,,
53,,,,
54,,,,
55,,,,
56,,,,
57,,,,
