,0,1,2,3
0,Mã ngành: 7140202,Tên ngành: Giáo dục Tiểu học,Tổ hợp môn:,NV1: 11.50
1,Mã ngành: 7140202,Tên ngành: Giáo dục Tiểu học,Tổ hợp môn:,NV1: 11.00
2,Mã ngành: 7140204,Tên ngành: Giáo dục công dân,Tổ hợp môn:,NV1: 11.00
3,Mã ngành: 7140206,Tên ngành: Giáo dục thể chất,Tổ hợp môn:,NV1: 17.50
4,Mã ngành: 7140209,Tên ngành: Sư phạm Toán học (SP. Toán học và SP. Toán –Tin học),Tổ hợp môn:,NV1: 10.50
5,Mã ngành: 7140211,"Tên ngành: Sư phạm Vật lý (SP.Vật lý, SP.Vật lý-Tin học, SP.Vật lý-Công nghệ)",Tổ hợp môn:,NV1: 9.50
6,Mã ngành: 7140212,Tên ngành: Sư phạm Hóa học,Tổ hợp môn:,NV1: 13.00
7,Mã ngành: 7140212,Tên ngành: Sư phạm Hóa học,Tổ hợp môn:,NV1: 14.00
8,Mã ngành: 7140213,"Tên ngành: Sư phạm Sinh học (SP.Sinh học, SP.Sinh-Kỹ thuật nông nghiệp)",Tổ hợp môn:,NV1: 10.50
9,Mã ngành: 7140217,Tên ngành: Sư phạm Ngữ văn,Tổ hợp môn:,NV1: 14.00
10,Mã ngành: 7140218,Tên ngành: Sư phạm Lịch sử,Tổ hợp môn:,NV1: 13.50
11,Mã ngành: 7140219,Tên ngành: Sư phạm Địa lý,Tổ hợp môn:,NV1: 13.50
12,Mã ngành: 7140231,Tên ngành: Sư phạm Tiếng Anh,Tổ hợp môn:,NV1: 14.00
13,Mã ngành: 7140233,Tên ngành: Sư phạm Tiếng Pháp,Tổ hợp môn:,NV1: 10.00
14,Mã ngành: 7140233,Tên ngành: Sư phạm Tiếng Pháp,Tổ hợp môn:,NV1: 10.00
15,Mã ngành: 7220113,Tên ngành: Việt Nam học (Hướng dẫn viên du lịch),Tổ hợp môn:,NV1: 13.00
16,Mã ngành: 7220113,Tên ngành: Việt Nam học (Hướng dẫn viên du lịch),Tổ hợp môn:,NV1: 14.00
17,Mã ngành: 7220201,"Tên ngành: Ngôn ngữ Anh (Ngôn ngữ Anh, Phiên dịch - Biên dịch tiếng Anh)",Tổ hợp môn:,NV1: 14.50
18,Mã ngành: 7220201,Tên ngành: Ngôn ngữ Anh (Đào tạo tại khu Hoà An - tỉnh Hậu Giang),Tổ hợp môn:,NV1: 10.00
19,Mã ngành: 7220203,Tên ngành: Ngôn ngữ Pháp,Tổ hợp môn:,NV1: 10.00
20,Mã ngành: 7220203,Tên ngành: Ngôn ngữ Pháp,Tổ hợp môn:,NV1: 10.00
21,Mã ngành: 7220330,Tên ngành: Văn học,Tổ hợp môn:,NV1: 13.00
22,Mã ngành: 7310101,Tên ngành: Kinh tế,Tổ hợp môn:,NV1: 13.00
23,Mã ngành: 7310101,Tên ngành: Kinh tế,Tổ hợp môn:,NV1: 12.50
24,Mã ngành: 7320201,Tên ngành: Thông tin học,Tổ hợp môn:,NV1: 10.00
25,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh,Tổ hợp môn:,NV1: 12.00
26,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh,Tổ hợp môn:,NV1: 12.50
27,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh (Đào tạo tại khu Hoà An - tỉnh Hậu Giang),Tổ hợp môn:,NV1: 10.00
28,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh (Đào tạo tại khu Hoà An - tỉnh Hậu Giang),Tổ hợp môn:,NV1: 9.50
29,Mã ngành: 7340103,Tên ngành: Quản trị dịch vụ du lịch và lữ hành,Tổ hợp môn:,NV1: 14.50
30,Mã ngành: 7340103,Tên ngành: Quản trị dịch vụ du lịch và lữ hành,Tổ hợp môn:,NV1: 14.00
31,Mã ngành: 7340115,Tên ngành: Marketing,Tổ hợp môn:,NV1: 13.50
32,Mã ngành: 7340115,Tên ngành: Marketing,Tổ hợp môn:,NV1: 14.00
33,Mã ngành: 7340120,Tên ngành: Kinh doanh quốc tế,Tổ hợp môn:,NV1: 15.50
34,Mã ngành: 7340120,Tên ngành: Kinh doanh quốc tế,Tổ hợp môn:,NV1: 15.00
35,Mã ngành: 7340121,Tên ngành: Kinh doanh thương mại,Tổ hợp môn:,NV1: 14.00
36,Mã ngành: 7340121,Tên ngành: Kinh doanh thương mại,Tổ hợp môn:,NV1: 13.50
37,Mã ngành: 7340201,"Tên ngành: Tài chính - Ngân hàng (Tài chính - Ngân hàng, Tài chính doanh nghiệp)",Tổ hợp môn:,NV1: 14.50
38,Mã ngành: 7340201,"Tên ngành: Tài chính - Ngân hàng (Tài chính - Ngân hàng, Tài chính doanh nghiệp)",Tổ hợp môn:,NV1: 14.00
39,Mã ngành: 7340301,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 14.50
40,Mã ngành: 7340301,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 14.00
41,Mã ngành: 7340302,Tên ngành: Kiểm toán,Tổ hợp môn:,NV1: 13.00
42,Mã ngành: 7340302,Tên ngành: Kiểm toán,Tổ hợp môn:,NV1: 12.50
43,Mã ngành: 7380101,"Tên ngành: Luật (Luật hành chính, Luật Tư pháp, Luật Thương mại)",Tổ hợp môn:,NV1: 15.00
44,Mã ngành: 7380101,Tên ngành: Luật (Luật Hành chính)(Đào tạo tại khu Hoà An - tỉnh Hậu Giang),Tổ hợp môn:,NV1: 12.50
45,Mã ngành: 7380101,"Tên ngành: Luật (Luật hành chính, Luật Tư pháp, Luật Thương mại)",Tổ hợp môn:,NV1: 13.50
46,Mã ngành: 7380101,Tên ngành: Luật (Luật Hành chính)(Đào tạo tại khu Hoà An - tỉnh Hậu Giang),Tổ hợp môn:,NV1: 11.00
47,Mã ngành: 7420101,"Tên ngành: Sinh học (Sinh học, Vi sinh vật học)",Tổ hợp môn:,NV1: 11.00
48,Mã ngành: 7420201,Tên ngành: Công nghệ sinh học,Tổ hợp môn:,NV1: 14.50
49,Mã ngành: 7420201,Tên ngành: Công nghệ sinh học,Tổ hợp môn:,NV1: 13.50
50,Mã ngành: 7440112,"Tên ngành: Hóa học (Hóa học, Hóa dược)",Tổ hợp môn:,NV1: 15.50
51,Mã ngành: 7440112,"Tên ngành: Hóa học (Hóa học, Hóa dược)",Tổ hợp môn:,NV1: 14.50
52,Mã ngành: 7440301,Tên ngành: Khoa học môi trường,Tổ hợp môn:,NV1: 10.50
53,Mã ngành: 7440301,Tên ngành: Khoa học môi trường,Tổ hợp môn:,NV1: 9.50
54,Mã ngành: 7440306,Tên ngành: Khoa học đất,Tổ hợp môn:,NV1: 10.50
55,Mã ngành: 7460112,Tên ngành: Toán ứng dụng,Tổ hợp môn:,NV1: 9.50
56,Mã ngành: 7480101,Tên ngành: Khoa học máy tính,Tổ hợp môn:,NV1: 9.50
57,Mã ngành: 7480102,Tên ngành: Truyền thông và mạng máy tính,Tổ hợp môn:,NV1: 9.50
58,Mã ngành: 7480103,Tên ngành: Kỹ thuật phần mềm,Tổ hợp môn:,NV1: 9.50
59,Mã ngành: 7480104,Tên ngành: Hệ thống thông tin,Tổ hợp môn:,NV1: 9.50
60,Mã ngành: 7480201,Tên ngành: Công nghệ thông tin (Tin học ứng dụng)(Đào tạo tại khu Hoà An - tỉnh Hậu Giang),Tổ hợp môn:,NV1: 9.50
61,Mã ngành: 7480201,Tên ngành: Công nghệ thông tin (Tin học ứng dụng),Tổ hợp môn:,NV1: 10.00
62,Mã ngành: 7510401,Tên ngành: Công nghệ kỹ thuật hóa học,Tổ hợp môn:,NV1: 10.00
63,Mã ngành: 7510601,Tên ngành: Quản lý công nghiệp,Tổ hợp môn:,NV1: 9.50
64,Mã ngành: 7520103,"Tên ngành: Kỹ thuật cơ khí (Cơ khí chế tạo máy, Cơ khí chế biến, Cơ khí giao thông)",Tổ hợp môn:,NV1: 9.50
65,Mã ngành: 7520114,Tên ngành: Kỹ thuật cơ - điện tử,Tổ hợp môn:,NV1: 9.50
66,Mã ngành: 7520201,"Tên ngành: Kỹ thuật điện, điện tử (Kỹ thuật điện)",Tổ hợp môn:,NV1: 10.50
67,Mã ngành: 7520207,"Tên ngành: Kỹ thuật điện tử, truyền thông",Tổ hợp môn:,NV1: 9.50
68,Mã ngành: 7520214,Tên ngành: Kỹ thuật máy tính,Tổ hợp môn:,NV1: 9.50
69,Mã ngành: 7520216,Tên ngành: Kỹ thuật điều khiển và tự động hóa,Tổ hợp môn:,NV1: 9.50
70,Mã ngành: 7520320,Tên ngành: Kỹ thuật môi trường,Tổ hợp môn:,NV1: 10.50
71,Mã ngành: 7540101,Tên ngành: Công nghệ thực phẩm,Tổ hợp môn:,NV1: 12.50
72,Mã ngành: 7540105,Tên ngành: Công nghệ chế biến thủy sản,Tổ hợp môn:,NV1: 10.50
73,Mã ngành: 7580201,Tên ngành: Kỹ thuật công trình xây dựng (Xây dựng dân dụng và công nghiệp) (Đào tạo tại khu Hoà An - tỉnh Hậu Giang),Tổ hợp môn:,NV1: 9.50
74,Mã ngành: 7580201,"Tên ngành: Kỹ thuật công trình xây dựng (Xây dựng công trình thủy, Xây dựng dân dụng và công nghiệp, Xây dựng cầu đường)",Tổ hợp môn:,NV1: 11.50
75,Mã ngành: 7620105,Tên ngành: Chăn nuôi (Chăn nuôi-Thú y và Công nghệ giống vật nuôi),Tổ hợp môn:,NV1: 10.50
76,Mã ngành: 7620109,Tên ngành: Nông học,Tổ hợp môn:,NV1: 11.00
77,Mã ngành: 7620109,Tên ngành: Nông học (Kỹ thuật nông nghiệp)(Đào tạo tại khu Hoà An - tỉnh Hậu Giang),Tổ hợp môn:,NV1: 10.50
78,Mã ngành: 7620110,Tên ngành: Khoa học cây trồng (Khoa học cây trồng; Công nghệ giống cây trồng và Nông nghiệp sạch),Tổ hợp môn:,NV1: 10.50
79,Mã ngành: 7620112,Tên ngành: Bảo vệ thực vật,Tổ hợp môn:,NV1: 13.00
80,Mã ngành: 7620113,Tên ngành: Công nghệ rau hoa quả và cảnh quan,Tổ hợp môn:,NV1: 10.50
