,0,1,2,3
0,Mã ngành: 901,Tên ngành: Điền kinh,Tổ hợp môn:,NV1: 22.00
1,Mã ngành: 902,Tên ngành: Thể dục,Tổ hợp môn:,NV1: 18.00
2,Mã ngành: 903,Tên ngành: Bơi lội,Tổ hợp môn:,NV1: 19.00
3,Mã ngành: 904,Tên ngành: Bóng đá,Tổ hợp môn:,NV1: 20.00
4,Mã ngành: 905,Tên ngành: Cầu lông,Tổ hợp môn:,NV1: 20.00
5,Mã ngành: 906,Tên ngành: Bóng rổ,Tổ hợp môn:,NV1: 18.00
6,Mã ngành: 907,Tên ngành: Bóng bàn,Tổ hợp môn:,NV1: 16.00
7,Mã ngành: 908,Tên ngành: Bóng chuyền,Tổ hợp môn:,NV1: 21.00
8,Mã ngành: 909,Tên ngành: Bóng ném,Tổ hợp môn:,NV1: 20.00
9,Mã ngành: 910,Tên ngành: Cờ vua,Tổ hợp môn:,NV1: 17.00
10,Mã ngành: 911,Tên ngành: Võ,Tổ hợp môn:,NV1: 21.00
11,Mã ngành: 912,Tên ngành: Vật,Tổ hợp môn:,NV1: 19.00
12,Mã ngành: 913,Tên ngành: Bắn súng,Tổ hợp môn:,NV1: 16.00
13,Mã ngành: 914,Tên ngành: Quần vợt,Tổ hợp môn:,NV1: 17.00
