,0,1,2,3
0,Mã ngành: 7220113,Tên ngành: Việt Nam học,Tổ hợp môn:,NV1: 13.00
1,Mã ngành: 7220201,Tên ngành: Ngôn ngữ Anh,Tổ hợp môn:,NV1: 13.00
2,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh,Tổ hợp môn:,NV1: 13.00
3,Mã ngành: 7340103,Tên ngành: Quản trị dịch vụ du lịch và lữ hành,Tổ hợp môn:,NV1: 13.00
4,Mã ngành: 7340107,Tên ngành: Quản trị khách sạn,Tổ hợp môn:,NV1: 13.00
5,Mã ngành: 7340201,Tên ngành: Tài chính - Ngân hàng,Tổ hợp môn:,NV1: 13.00
6,Mã ngành: 7340301,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 13.00
7,Mã ngành: 7340406,Tên ngành: Quản trị văn phòng,Tổ hợp môn:,NV1: 13.00
8,Mã ngành: 7480201,Tên ngành: Công nghệ thông tin,Tổ hợp môn:,NV1: 13.00
9,Mã ngành: 7510205,Tên ngành: Công nghệ kĩ thuật ô tô,Tổ hợp môn:,NV1: 13.00
10,Mã ngành: 7510301,Tên ngành: Công nghệ kỹ thuật điện,Tổ hợp môn:,NV1: 13.00
11,Mã ngành: 7510302,"Tên ngành: Công nghệ kĩ thuật điện tử, truyền thông",Tổ hợp môn:,NV1: 13.00
12,Mã ngành: 7510303,Tên ngành: Công nghệ kĩ thuật điều khiển và tự động hoá,Tổ hợp môn:,NV1: 13.00
13,Mã ngành: 7510406,Tên ngành: Công nghệ kĩ thuật môi trường,Tổ hợp môn:,NV1: 13.00
14,Mã ngành: 7510406,Tên ngành: Công nghệ kĩ thuật môi trường,Tổ hợp môn:,NV1: 14.00
15,Mã ngành: 7720401,Tên ngành: Dược học,Tổ hợp môn:,NV1: 14.00
16,Mã ngành: 7720401,Tên ngành: Dược học,Tổ hợp môn:,NV1: 13.00
17,Mã ngành: 7850101,Tên ngành: Quản lý tài nguyên và môi trường,Tổ hợp môn:,NV1: 13.00
18,Mã ngành: 7850101,Tên ngành: Quản lý tài nguyên và môi trường,Tổ hợp môn:,NV1: 14.00
19,Mã ngành: 7850103,Tên ngành: Quản lý đất đai,Tổ hợp môn:,NV1: 13.00
20,Mã ngành: 7850103,Tên ngành: Quản lý đất đai,Tổ hợp môn:,NV1: 14.00
21,Mã ngành: C220113,Tên ngành: Việt Nam học,Tổ hợp môn:,NV1: 10.00
22,Mã ngành: C220201,Tên ngành: Tiếng Anh,Tổ hợp môn:,NV1: 10.00
23,Mã ngành: C320202,Tên ngành: Khoa học thư viện,Tổ hợp môn:,NV1: 10.00
24,Mã ngành: C340101,Tên ngành: Quản trị kinh doanh,Tổ hợp môn:,NV1: 10.00
25,Mã ngành: C340103,Tên ngành: Quản trị dịch vụ du lịch và lữ hành,Tổ hợp môn:,NV1: 10.00
26,Mã ngành: C340107,Tên ngành: Quản trị khách sạn,Tổ hợp môn:,NV1: 10.00
27,Mã ngành: C340201,Tên ngành: Tài chính - Ngân hàng,Tổ hợp môn:,NV1: 10.00
28,Mã ngành: C340301,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 10.00
29,Mã ngành: C340406,Tên ngành: Quản trị văn phòng,Tổ hợp môn:,NV1: 10.00
30,Mã ngành: C480201,Tên ngành: Công nghệ thông tin,Tổ hợp môn:,NV1: 11.00
31,Mã ngành: C480201,Tên ngành: Công nghệ thông tin,Tổ hợp môn:,NV1: 10.00
32,Mã ngành: C510205,Tên ngành: Công nghệ kĩ thuật ô tô,Tổ hợp môn:,NV1: 10.00
33,Mã ngành: C510301,Tên ngành: Công nghệ kỹ thuật điện,Tổ hợp môn:,NV1: 10.00
34,Mã ngành: C510302,"Tên ngành: Công nghệ kĩ thuật điện tử, truyền thông",Tổ hợp môn:,NV1: 10.00
35,Mã ngành: C510303,Tên ngành: Công nghệ kĩ thuật điều khiển và tự động hoá,Tổ hợp môn:,NV1: 10.00
36,Mã ngành: C510406,Tên ngành: Công nghệ kĩ thuật môi trường,Tổ hợp môn:,NV1: 11.00
37,Mã ngành: C510406,Tên ngành: Công nghệ kĩ thuật môi trường,Tổ hợp môn:,NV1: 10.00
38,Mã ngành: C520503,Tên ngành: Kỹ thuật trắc địa – bản đồ,Tổ hợp môn:,NV1: 11.00
39,Mã ngành: C520503,Tên ngành: Kỹ thuật trắc địa – bản đồ,Tổ hợp môn:,NV1: 10.00
40,Mã ngành: C720501,Tên ngành: Điều dưỡng,Tổ hợp môn:,NV1: 11.00
41,Mã ngành: C850101,Tên ngành: Quản lý tài nguyên và môi trường,Tổ hợp môn:,NV1: 11.00
42,Mã ngành: C850101,Tên ngành: Quản lý tài nguyên và môi trường,Tổ hợp môn:,NV1: 10.00
43,Mã ngành: C850103,Tên ngành: Quản lý đất đai,Tổ hợp môn:,NV1: 11.00
44,Mã ngành: C850103,Tên ngành: Quản lý đất đai,Tổ hợp môn:,NV1: 10.00
45,Mã ngành: C900107,Tên ngành: Dược,Tổ hợp môn:,NV1: 10.00
46,Mã ngành: C900107,Tên ngành: Dược,Tổ hợp môn:,NV1: 11.00
47,,,,
48,,,,
