,0,1,2,3
0,Mã ngành: 7140206,Tên ngành: Giáo dục Thể chất ( Nhóm 1 ),Tổ hợp môn:,NV1: 15.50
1,Mã ngành: 7140206,Tên ngành: Giáo dục Thể chất ( Nhóm 2 ),Tổ hợp môn:,NV1: 16.50
2,Mã ngành: 7140206,Tên ngành: Giáo dục thể chất,Tổ hợp môn:,NV1: 17.50
3,Mã ngành: 7140207,Tên ngành: Huấn luyện thể thao ( Nhóm 1 ),Tổ hợp môn:,NV1: 16.00
4,Mã ngành: 7140207,Tên ngành: Huấn luyện thể thao ( Nhóm 2 ),Tổ hợp môn:,NV1: 17.00
5,Mã ngành: 7140207,Tên ngành: Huấn luyện thể thao ( Học sinh PT ),Tổ hợp môn:,NV1: 18.00
6,Mã ngành: 7220343,Tên ngành: Quản lí thể dục thể thao ( Nhóm 1 ),Tổ hợp môn:,NV1: 14.00
7,Mã ngành: 7220343,Tên ngành: Quản lí thể dục thể thao ( Nhóm 2 ),Tổ hợp môn:,NV1: 15.00
8,Mã ngành: 7220343,Tên ngành: Quản lí thể dục thể thao ( Học sinh PT ),Tổ hợp môn:,NV1: 16.00
9,Mã ngành: 7720305,Tên ngành: Y sinh học thể dục thể thao ( Nhóm 1 ),Tổ hợp môn:,NV1: 17.00
10,Mã ngành: 7720305,Tên ngành: Y sinh học thể dục thể thao ( Nhóm 2 ),Tổ hợp môn:,NV1: 18.00
11,Mã ngành: 7720305,Tên ngành: Y sinh học thể dục thể thao ( Học sinh PT ),Tổ hợp môn:,NV1: 19.00
