,0,1,2,3
0,Mã ngành: 7140114,Tên ngành: Quản lí Giáo dục,Tổ hợp môn:,NV1: 14.50
1,Mã ngành: 7140114,Tên ngành: Quản lí Giáo dục,Tổ hợp môn:,NV1: 13.50
2,Mã ngành: 7140114,Tên ngành: Quản lí Giáo dục,Tổ hợp môn:,NV1: 14.50
3,Mã ngành: 7140114,Tên ngành: Quản lí Giáo dục,Tổ hợp môn:,NV1: 13.00
4,Mã ngành: 7140201,Tên ngành: Giáo dục Mầm non,Tổ hợp môn:,NV1: 16.00
5,Mã ngành: 7140202,Tên ngành: Giáo dục Tiểu học,Tổ hợp môn:,NV1: 15.00
6,Mã ngành: 7140202,Tên ngành: Giáo dục Tiểu học,Tổ hợp môn:,NV1: 15.50
7,Mã ngành: 7140202,Tên ngành: Giáo dục Tiểu học,Tổ hợp môn:,NV1: 15.00
8,Mã ngành: 7140202,Tên ngành: Giáo dục Tiểu học,Tổ hợp môn:,NV1: 15.50
9,Mã ngành: 7140205,Tên ngành: Giáo dục Chính trị,Tổ hợp môn:,NV1: 15.00
10,Mã ngành: 7140208,Tên ngành: Giáo dục Quốc phòng,Tổ hợp môn:,NV1: 15.00
11,Mã ngành: 7140208,Tên ngành: Giáo dục Quốc phòng,Tổ hợp môn:,NV1: 15.00
12,Mã ngành: 7140208,Tên ngành: Giáo dục Quốc phòng,Tổ hợp môn:,NV1: 15.00
13,Mã ngành: 7140209,Tên ngành: Sư phạm Toán học,Tổ hợp môn:,NV1: 16.50
14,Mã ngành: 7140210,Tên ngành: Sư phạm Tin học,Tổ hợp môn:,NV1: 15.00
15,Mã ngành: 7140211,Tên ngành: Sư phạm Vật lí,Tổ hợp môn:,NV1: 15.00
16,Mã ngành: 7140212,Tên ngành: Sư phạm Hoá học,Tổ hợp môn:,NV1: 15.00
17,Mã ngành: 7140213,Tên ngành: Sư phạm Sinh học,Tổ hợp môn:,NV1: 15.00
18,Mã ngành: 7140217,Tên ngành: Sư phạm Ngữ văn,Tổ hợp môn:,NV1: 17.00
19,Mã ngành: 7140218,Tên ngành: Sư phạm Lịch sử,Tổ hợp môn:,NV1: 15.00
20,Mã ngành: 7140219,Tên ngành: Sư phạm Địa lý,Tổ hợp môn:,NV1: 15.00
21,Mã ngành: 7140231,Tên ngành: Sư phạm Tiếng Anh,Tổ hợp môn:,NV1: 20.00
22,Mã ngành: 7220113,Tên ngành: Việt Nam học (chuyên ngành Du lịch),Tổ hợp môn:,NV1: 13.50
23,Mã ngành: 7220113,Tên ngành: Việt Nam học (chuyên ngành Du lịch),Tổ hợp môn:,NV1: 14.50
24,Mã ngành: 7220201,Tên ngành: Ngôn ngữ Anh,Tổ hợp môn:,NV1: 18.00
25,Mã ngành: 7220310,Tên ngành: Lịch Sử,Tổ hợp môn:,NV1: 14.50
26,Mã ngành: 7220330,Tên ngành: Văn học,Tổ hợp môn:,NV1: 14.50
27,Mã ngành: 7310101,Tên ngành: Kinh tế,Tổ hợp môn:,NV1: 14.00
28,Mã ngành: 7310201,Tên ngành: Chính trị học,Tổ hợp môn:,NV1: 14.50
