,0,1,2,3
0,Mã ngành: 101,Tên ngành: ĐHSP Toán (THPT),Tổ hợp môn:,NV1: 13.00
1,Mã ngành: 103,Tên ngành: ĐHSP Vật lý (THPT),Tổ hợp môn:,NV1: 13.00
2,Mã ngành: 103,Tên ngành: ĐHSP Toán (THPT),Tổ hợp môn:,NV1: 13.00
3,Mã ngành: 104,Tên ngành: ĐHSP Hoá học (THPT),Tổ hợp môn:,NV1: 13.00
4,Mã ngành: 104,Tên ngành: ĐHSP Vật lý (THPT),Tổ hợp môn:,NV1: 13.00
5,Mã ngành: 105,Tên ngành: ĐHSP Kỹ thuật công nghiệp,Tổ hợp môn:,NV1: 13.00
6,Mã ngành: 105,Tên ngành: ĐHSP Hoá học (THPT),Tổ hợp môn:,NV1: 13.00
7,Mã ngành: 151,Tên ngành: Cử nhân Toán học,Tổ hợp môn:,NV1: 13.00
8,Mã ngành: 151,Tên ngành: Sư phạm Âm nhạc (*),Tổ hợp môn:,NV1: 13.00
9,Mã ngành: 152,Tên ngành: Công nghệ thông tin,Tổ hợp môn:,NV1: 13.00
10,Mã ngành: 152,Tên ngành: Cử nhân Toán học,Tổ hợp môn:,NV1: 13.00
11,Mã ngành: 154,Tên ngành: - Cử nhân Công nghệ Kĩ thuật điện,Tổ hợp môn:,NV1: 13.00
12,Mã ngành: 154,Tên ngành: Công nghệ kĩ thuật điện. điện tử,Tổ hợp môn:,NV1: 13.00
13,Mã ngành: 156,Tên ngành: Công nghệ kĩ thuật xây dựng,Tổ hợp môn:,NV1: 13.00
14,Mã ngành: 156,Tên ngành: - Kỹ sư Xây dựng,Tổ hợp môn:,NV1: 13.00
15,Mã ngành: 158,Tên ngành: Công nghệ chế tạo máy cơ khí,Tổ hợp môn:,NV1: 13.00
16,Mã ngành: 158,Tên ngành: - Kỹ sư Cơ khí chế tạo máy,Tổ hợp môn:,NV1: 13.00
17,Mã ngành: 351,Tên ngành: Khoa học cây trồng,Tổ hợp môn:,NV1: 13.00
18,Mã ngành: 351,Tên ngành: - Nông học,Tổ hợp môn:,NV1: 13.00
19,Mã ngành: 352,Tên ngành: Nuôi trồng thuỷ sản:,Tổ hợp môn:,NV1: 14.00
20,Mã ngành: 352,Tên ngành: Khoa học cây trồng:,Tổ hợp môn:,NV1: 14.00
21,Mã ngành: 352,Tên ngành: - Nuôi trồng thuỷ sản,Tổ hợp môn:,NV1: 14.00
22,Mã ngành: 352,Tên ngành: Khoa học cây trồng,Tổ hợp môn:,NV1: 14.00
23,Mã ngành: 353,Tên ngành: - Chăn nuôi - Thú y,Tổ hợp môn:,NV1: 13.00
24,Mã ngành: 353,Tên ngành: Khoa học cây trồng:,Tổ hợp môn:,NV1: 13.00
25,Mã ngành: 353,Tên ngành: Chăn nuôi:,Tổ hợp môn:,NV1: 14.00
26,Mã ngành: 353,Tên ngành: Chăn nuôi,Tổ hợp môn:,NV1: 13.00
27,Mã ngành: 353,Tên ngành: Nuôi trồng thuỷ sản,Tổ hợp môn:,NV1: 13.00
28,Mã ngành: 353,Tên ngành: - Chăn nuôi - Thú y,Tổ hợp môn:,NV1: 14.00
29,Mã ngành: 451,Tên ngành: Cử nhân Quản trị Kinh doanh,Tổ hợp môn:,NV1: 13.00
30,Mã ngành: 451,Tên ngành: - Cử nhân Quản trị Kinh doanh,Tổ hợp môn:,NV1: 13.00
31,Mã ngành: 452,Tên ngành: Cử nhân Kế toán,Tổ hợp môn:,NV1: 14.50
