,0,1,2,3
0,Mã ngành: 7140202,Tên ngành: Giáo dục Tiểu học,Tổ hợp môn:,NV1: 18.00
1,Mã ngành: 7140202,Tên ngành: Giáo dục Tiểu học,Tổ hợp môn:,NV1: 20.00
2,Mã ngành: 7140209,Tên ngành: Sư phạm Toán học,Tổ hợp môn:,NV1: 16.50
3,Mã ngành: 7140211,Tên ngành: Sư phạm Vật lý,Tổ hợp môn:,NV1: 15.00
4,Mã ngành: 7140212,Tên ngành: Sư phạm Hóa học,Tổ hợp môn:,NV1: 15.00
5,Mã ngành: 7140213,Tên ngành: Sư phạm Sinh học,Tổ hợp môn:,NV1: 15.00
6,Mã ngành: 7140217,Tên ngành: Sư phạm Ngữ Văn,Tổ hợp môn:,NV1: 18.00
7,Mã ngành: 7140218,Tên ngành: Sư phạm Lịch sử,Tổ hợp môn:,NV1: 15.00
8,Mã ngành: 7140231,Tên ngành: Sư phạm Tiếng Anh,Tổ hợp môn:,NV1: 16.25
9,Mã ngành: 7140231,Tên ngành: Sư phạm Tiếng Anh,Tổ hợp môn:,NV1: 16.75
10,Mã ngành: 7220113,Tên ngành: Việt Nam học,Tổ hợp môn:,NV1: 15.00
11,Mã ngành: 7220201,Tên ngành: Ngôn ngữ Anh,Tổ hợp môn:,NV1: 15.00
12,Mã ngành: 7220204,Tên ngành: Ngôn ngữ Trung Quốc,Tổ hợp môn:,NV1: 15.00
13,Mã ngành: 7220341,Tên ngành: Hướng dẫn viên du lịch,Tổ hợp môn:,NV1: 15.00
14,Mã ngành: 7310101,Tên ngành: Kinh tế (kinh tế đầu tư),Tổ hợp môn:,NV1: 15.00
15,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh,Tổ hợp môn:,NV1: 15.00
16,Mã ngành: 7340103,Tên ngành: Quản trị dịch vụ du lịch và lữ hành,Tổ hợp môn:,NV1: 15.00
17,Mã ngành: 7340201,Tên ngành: Tài chính – Ngân hàng,Tổ hợp môn:,NV1: 15.00
18,Mã ngành: 7340301,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 15.00
19,Mã ngành: 7480201,Tên ngành: Công nghệ Thông tin,Tổ hợp môn:,NV1: 15.00
20,Mã ngành: 7510201,Tên ngành: Công nghệ Kỹ thuật Cơ khí,Tổ hợp môn:,NV1: 15.00
21,Mã ngành: 7510301,"Tên ngành: Công nghệ Kỹ thuật điện, điện tử",Tổ hợp môn:,NV1: 15.00
22,Mã ngành: 7620105,Tên ngành: Chăn nuôi (Chăn nuôi-Thú y),Tổ hợp môn:,NV1: 15.00
23,Mã ngành: 7620110,Tên ngành: Khoa học Cây trồng,Tổ hợp môn:,NV1: 15.00
24,Mã ngành: 7620115,Tên ngành: Kinh tế Nông nghiệp,Tổ hợp môn:,NV1: 15.00
25,Mã ngành: 7640101,Tên ngành: Thú y,Tổ hợp môn:,NV1: 15.00
26,Mã ngành: 7760101,Tên ngành: Công tác Xã hội,Tổ hợp môn:,NV1: 15.00
27,Mã ngành: C140202,Tên ngành: Giáo dục Tiểu học,Tổ hợp môn:,NV1: 12.00
28,Mã ngành: C140209,Tên ngành: Sư phạm Toán – Lý,Tổ hợp môn:,NV1: 12.00
29,Mã ngành: C140212,Tên ngành: Sư phạm Hóa – Sinh,Tổ hợp môn:,NV1: 12.00
30,Mã ngành: C140218,Tên ngành: Sư phạm Sử - GDCD,Tổ hợp môn:,NV1: 12.00
31,Mã ngành: C140231,Tên ngành: Sư phạm Tiếng Anh,Tổ hợp môn:,NV1: 12.00
32,Mã ngành: C340101,Tên ngành: Quản trị kinh doanh,Tổ hợp môn:,NV1: 12.00
33,Mã ngành: C340301,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 12.00
34,Mã ngành: C480201,Tên ngành: Công nghệ thông tin,Tổ hợp môn:,NV1: 12.00
35,,,,
36,,,,
37,,,,
38,,,,
39,,,,
