,0,1,2,3
0,Mã ngành: 7140209,Tên ngành: Sư Phạm Toán,"Tổ hợp môn: A00, A01, D01, D07",NV1: 20.00
1,Mã ngành: 7220201,Tên ngành: Ngôn ngữ Anh,"Tổ hợp môn: D01, D14, D15",NV1: 19.00
2,Mã ngành: 7340301,Tên ngành: Kế toán,"Tổ hợp môn: A00, A01, D01, D07",NV1: 20.00
3,Mã ngành: 7420201,Tên ngành: Công nghệ sinh học,"Tổ hợp môn: A00, A01, B00, D07",NV1: 15.00
4,Mã ngành: 7480201,Tên ngành: Công nghệ thông tin,"Tổ hợp môn: A00, A01, D01, D07",NV1: 21.00
5,Mã ngành: 7510103,Tên ngành: Công nghệ kỹ thuật xây dựng,"Tổ hợp môn: A00, A01, D07",NV1: 16.00
6,Mã ngành: 7510406,Tên ngành: Công nghệ kỹ thuật môi trường,"Tổ hợp môn: A00, A01, B00, D07",NV1: 15.00
7,Mã ngành: 7540101,Tên ngành: Công nghệ thực phẩm,"Tổ hợp môn: A00, A01, B00, D07",NV1: 16.00
8,Mã ngành: 7620110,Tên ngành: Khoa học cây trồng,"Tổ hợp môn: A00, A01, B00, D07",NV1: 15.00
9,Mã ngành: 7620301,Tên ngành: Nuôi trồng thủy sản,"Tổ hợp môn: A00, A01, B00, D07",NV1: 15.00
