,0,1,2,3
0,Mã ngành: TLA01,Tên ngành: Kỹ thuật công trình thủy,"Tổ hợp môn: A00,A01,D07",NV1: 5.71
1,Mã ngành: TLA01,Tên ngành: Kỹ thuật công trình xây dựng,"Tổ hợp môn: A00,A01,D07",NV1: 6.02
2,Mã ngành: TLA01,Tên ngành: Kỹ thuật xây dựng công trình giao thông,"Tổ hợp môn: A00,A01,D07",NV1: 5.67
3,Mã ngành: TLA01,Tên ngành: Công nghệ kỹ thuật xây dựng,"Tổ hợp môn: A00,A01,D07",NV1: 5.67
4,Mã ngành: TLA01,Tên ngành: Quản lý xây dựng,"Tổ hợp môn: A00,A01,D07",NV1: 5.87
5,Mã ngành: TLA01,Tên ngành: Kỹ thuật công trình biển,"Tổ hợp môn: A00,A01,D07",NV1: 5.72
6,Mã ngành: TLA02,Tên ngành: Kỹ thuật tài nguyên nước,"Tổ hợp môn: A00,A01,D07",NV1: 5.67
7,Mã ngành: TLA02,Tên ngành: Thuỷ văn,"Tổ hợp môn: A00,A01,D07",NV1: 5.68
8,Mã ngành: TLA03,Tên ngành: Cấp thoát nước,"Tổ hợp môn: A00,A01,D07",NV1: 5.67
9,Mã ngành: TLA03,Tên ngành: Kỹ thuật cơ sở hạ tầng,"Tổ hợp môn: A00,A01,D07",NV1: 5.90
10,Mã ngành: TLA04,Tên ngành: Kỹ thuật trắc địa - bản đồ,"Tổ hợp môn: A00,A01,D07",NV1: 5.68
11,Mã ngành: TLA05,Tên ngành: Kỹ thuật cơ khí,"Tổ hợp môn: A00,A01,D07",NV1: 6.32
12,Mã ngành: TLA06,Tên ngành: Kỹ thuật điện. điện tử,"Tổ hợp môn: A00,A01,D07",NV1: 6.50
13,Mã ngành: TLA07,Tên ngành: Hệ thống thông tin,"Tổ hợp môn: A00,A01,D07",NV1: 5.87
14,Mã ngành: TLA07,Tên ngành: Kỹ thuật phần mềm,"Tổ hợp môn: A00,A01,D07",NV1: 6.18
15,Mã ngành: TLA07,Tên ngành: Công nghệ thông tin,"Tổ hợp môn: A00,A01,D07",NV1: 6.72
16,Mã ngành: TLA08,Tên ngành: Kỹ thuật môi trường,"Tổ hợp môn: A00,A01,B00,D07",NV1: 5.67
17,Mã ngành: TLA09,Tên ngành: Kỹ thuật hóa học,"Tổ hợp môn: A00,B00,D07",NV1: 5.67
18,Mã ngành: TLA10,Tên ngành: Kinh tế,"Tổ hợp môn: A00,A01,D07",NV1: 6.43
19,Mã ngành: TLA11,Tên ngành: Quản trị kinh doanh,"Tổ hợp môn: A00,A01,D07",NV1: 6.47
20,Mã ngành: TLA12,Tên ngành: Kế toán,"Tổ hợp môn: A00,A01,D07",NV1: 6.72
21,Mã ngành: TLA13,Tên ngành: Chương trình tiên tiến ngành Kỹ thuật xây dựng,"Tổ hợp môn: A00,A01,D07",NV1: 5.39
22,Mã ngành: TLA14,Tên ngành: Chương trình tiên tiến ngành Kỹ thuật tài nguyên nước,"Tổ hợp môn: A00,A01,D07",NV1: 5.33
23,,,,
24,,,,
25,,,,
26,,,,
27,,,,
28,,,,
29,,,,
30,,,,
