,0,1,2,3
0,Mã ngành: 7220201,Tên ngành: Ngôn ngữ Anh,Tổ hợp môn: D01,NV1: 28.25
1,Mã ngành: 7310101,Tên ngành: Kinh tế,Tổ hợp môn: A00,NV1: 23.00
2,Mã ngành: 7310101,Tên ngành: Kinh tế,Tổ hợp môn: A01,NV1: 21.50
3,Mã ngành: 7340101A,Tên ngành: Quản trị kinh doanh,Tổ hợp môn: A00,NV1: 22.75
4,Mã ngành: 7340101A,Tên ngành: Quản trị kinh doanh,Tổ hợp môn: D01,NV1: 21.25
5,Mã ngành: 7340101Q,Tên ngành: Quản trị kinh doanh (Tiếng Pháp thương mại),Tổ hợp môn: A00,NV1: 21.25
6,Mã ngành: 7340101Q,Tên ngành: Quản trị kinh doanh (Tiếng Pháp thương mại),Tổ hợp môn: D03,NV1: 21.00
7,Mã ngành: 7340103,Tên ngành: Quản trị dịch vụ du lịch và lữ hành,Tổ hợp môn: D01,NV1: 20.75
8,Mã ngành: 7340107,Tên ngành: Quản trị khách sạn,Tổ hợp môn: D01,NV1: 21.00
9,Mã ngành: 7340115C,Tên ngành: Marketing (Marketing thương mại),Tổ hợp môn: A00,NV1: 23.00
10,Mã ngành: 7340115C,Tên ngành: Marketing (Marketing thương mại),Tổ hợp môn: D01,NV1: 22.00
11,Mã ngành: 7340115T,Tên ngành: Marketing (Quản trị thương hiệu),Tổ hợp môn: A00,NV1: 22.25
12,Mã ngành: 7340115T,Tên ngành: Marketing (Quản trị thương hiệu),Tổ hợp môn: D01,NV1: 21.50
13,Mã ngành: 7340120,Tên ngành: Kinh doanh quốc tế,Tổ hợp môn: D01,NV1: 21.25
14,Mã ngành: 7340199,Tên ngành: Thương mại điện tử*,Tổ hợp môn: A00,NV1: 23.00
15,Mã ngành: 7340199,Tên ngành: Thương mại điện tử*,Tổ hợp môn: A01,NV1: 21.25
16,Mã ngành: 7340201,Tên ngành: Tài chính – Ngân hàng,Tổ hợp môn: A00,NV1: 23.50
17,Mã ngành: 7340201,Tên ngành: Tài chính – Ngân hàng,Tổ hợp môn: D01,NV1: 21.00
18,Mã ngành: 7340301,Tên ngành: Kế toán,Tổ hợp môn: A00,NV1: 23.50
19,Mã ngành: 7340301,Tên ngành: Kế toán,Tổ hợp môn: A01,NV1: 21.50
20,Mã ngành: 7340404,Tên ngành: Quản trị nhân lực,Tổ hợp môn: A00,NV1: 22.50
21,Mã ngành: 7340404,Tên ngành: Quản trị nhân lực,Tổ hợp môn: A01,NV1: 20.75
22,Mã ngành: 7340405,Tên ngành: Hệ thống thông tin quản lý,Tổ hợp môn: A00,NV1: 21.75
23,Mã ngành: 7340405,Tên ngành: Hệ thống thông tin quản lý,Tổ hợp môn: A01,NV1: 20.50
24,Mã ngành: 7380107,Tên ngành: Luật kinh tế,Tổ hợp môn: D01,NV1: 21.00
25,,,,
26,,,,
27,,,,
28,,,,
29,,,,
30,,,,
31,,,,
32,,,,
33,,,,
34,,,,
