,0,1,2,3
0,Mã ngành: 51140201,Tên ngành: Giáo dục Mầm non,Tổ hợp môn:,NV1: 10.00
1,Mã ngành: 51140201,Tên ngành: Giáo dục Mầm non.,Tổ hợp môn: M00,NV1: 15.50
2,Mã ngành: 51140202,Tên ngành: Giáo dục Tiểu học,Tổ hợp môn:,NV1: 10.00
3,Mã ngành: 51140202,Tên ngành: Giáo dục Tiểu học.,"Tổ hợp môn: A00,C00,C15,D01",NV1: 15.50
4,Mã ngành: 51140204,Tên ngành: Giáo dục Công dân (chuyên ngành: Giáo dục Công dân - Địa lý),Tổ hợp môn:,NV1: 10.00
5,Mã ngành: 51140204,Tên ngành: Giáo dục Công dân.,"Tổ hợp môn: C00,C03,C19,D01",NV1: 15.50
6,Mã ngành: 51140209,Tên ngành: Sư phạm Toán học.,"Tổ hợp môn: A00,A01,A16,B00",NV1: 15.50
7,Mã ngành: 51140209,"Tên ngành: Sư phạm Toán (chuyên ngành: Sư phạm Toán học - Vật lý, Sư phạm Toán học - Tin học)",Tổ hợp môn:,NV1: 10.00
8,Mã ngành: 51140210,Tên ngành: Sư phạm Tin học (chuyên ngành: Sư phạm Tin học - Kỹ thuật công nghiệp),Tổ hợp môn:,NV1: 10.00
9,Mã ngành: 51140210,Tên ngành: Sư phạm Tin học.,"Tổ hợp môn: A00,A01,A16,B00",NV1: 15.50
10,Mã ngành: 51140211,Tên ngành: Sư phạm Vật lý (chuyên ngành: Sư phạm Vật lý - Kỹ thuật công nghiệp),Tổ hợp môn:,NV1: 10.00
11,Mã ngành: 51140211,Tên ngành: Sư phạm Vật lý.,"Tổ hợp môn: A00,A01,A10,A16",NV1: 15.50
12,Mã ngành: 51140212,Tên ngành: Sư phạm Hóa học (chuyên ngành: Sư phạm Hóa học - Kỹ thuật nông nghiệp),Tổ hợp môn:,NV1: 10.00
13,Mã ngành: 51140212,Tên ngành: Sư phạm Hóa học.,"Tổ hợp môn: A00,A16,B00",NV1: 15.50
14,Mã ngành: 51140213,"Tên ngành: Sư phạm Sinh học (chuyên ngành: Sư phạm Sinh học - Kỹ thuật nông nghiệp, Sư phạm Sinh học - Giáo dục thể chất)",Tổ hợp môn:,NV1: 10.00
15,Mã ngành: 51140213,Tên ngành: Sư phạm Sinh học.,"Tổ hợp môn: A00,A16,B00,B04",NV1: 15.50
16,Mã ngành: 51140215,Tên ngành: Sư phạm Kỹ thuật nông nghiệp (chuyên ngành: Sư phạm Kỹ thuật nông nghiệp - Kinh tế gia đình - Kỹ thuật CN),Tổ hợp môn:,NV1: 10.00
17,Mã ngành: 51140215,Tên ngành: Sư phạm Kỹ thuật nông nghiệp.,"Tổ hợp môn: A00,A16,B00,B04",NV1: 15.50
18,Mã ngành: 51140217,"Tên ngành: Sư phạm Ngữ văn (chuyên ngành Sư phạm Ngữ văn - Lịch Sử, Sư phạm Ngữ văn - Công tác Đội TNTP Hồ Chí Minh)",Tổ hợp môn:,NV1: 10.00
19,Mã ngành: 51140217,Tên ngành: Sư phạm Ngữ văn.,"Tổ hợp môn: C00,C19,C20,D01",NV1: 15.50
20,Mã ngành: 51140218,Tên ngành: Sư phạm Lịch sử (chuyên ngành: Sư phạm Lịch sử - Giáo dục công dân),Tổ hợp môn:,NV1: 10.00
21,Mã ngành: 51140218,Tên ngành: Sư phạm Lịch sử.,"Tổ hợp môn: A08,C00,C19,D01",NV1: 15.50
22,Mã ngành: 51140219,Tên ngành: Sư phạm Địa lý (chuyên ngành: Sư phạm Địa lý - Giáo dục công dân),Tổ hợp môn:,NV1: 10.00
23,Mã ngành: 51140219,Tên ngành: Sư phạm Địa lý.,"Tổ hợp môn: A00,A01,C00,C20",NV1: 15.50
24,Mã ngành: 7140201,Tên ngành: Giáo dục Mầm non,Tổ hợp môn: M00,NV1: 15.50
25,Mã ngành: 7140202,Tên ngành: Giáo dục Tiểu học,"Tổ hợp môn: A00,C00,C15,D01",NV1: 15.50
26,Mã ngành: 7140209,Tên ngành: Sư phạm Toán học,"Tổ hợp môn: A00,A01,A16,B00",NV1: 15.50
27,Mã ngành: 7140213,Tên ngành: Sư phạm Sinh học,"Tổ hợp môn: A00,A16,B00,B04",NV1: 15.50
28,Mã ngành: 7220330,Tên ngành: Văn học,"Tổ hợp môn: C00,C19,C20,D01",NV1: 15.50
29,Mã ngành: 7220342,Tên ngành: Quản lý văn hóa,"Tổ hợp môn: C00,C15,C19,D01",NV1: 15.50
30,Mã ngành: 7340103,Tên ngành: Quản trị dịch vụ du lịch và lữ hành,"Tổ hợp môn: C00,C19,C20,D01",NV1: 15.50
31,Mã ngành: 7340301,Tên ngành: Kế toán,"Tổ hợp môn: A00,A01,A16,D01",NV1: 15.50
32,Mã ngành: 7440102,Tên ngành: Vật lý học,"Tổ hợp môn: A00,A01,A10,A16",NV1: 15.50
33,Mã ngành: 7440301,Tên ngành: Khoa học môi trường,"Tổ hợp môn: A00,A01,A10,B00",NV1: 15.50
34,Mã ngành: 7620105,Tên ngành: Chăn nuôi,"Tổ hợp môn: A00,A01,A10,B00",NV1: 15.50
35,Mã ngành: 7620110,Tên ngành: Khoa học cây trồng,"Tổ hợp môn: A00,A01,A10,B00",NV1: 15.50
36,Mã ngành: 7620115,Tên ngành: Kinh tế nông nghiệp,"Tổ hợp môn: A00,A01,A10,B00",NV1: 15.50
37,Mã ngành: 7760101,Tên ngành: Công tác xã hội,"Tổ hợp môn: C00,C15,C19,D01",NV1: 15.50
38,Mã ngành: 7850103,Tên ngành: Quản lý đất đai,"Tổ hợp môn: A00,A01,A16,B00",NV1: 15.50
39,,,,
40,,,,
41,,,,
42,,,,
43,,,,
44,,,,
45,,,,
46,,,,
47,,,,
