,0,1,2,3
0,Mã ngành: 7220201,Tên ngành: Ngôn ngữ Anh,"Tổ hợp môn: A01,D01,D14,D15",NV1: 21.50
1,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh,"Tổ hợp môn: A00,A01,D01,D97",NV1: 18.50
2,Mã ngành: 7340101P,Tên ngành: Quản trị kinh doanh (chương trình song ngữ Pháp-Việt),"Tổ hợp môn: D03,D64,D70,D97",NV1: 18.00
3,Mã ngành: 7340103,Tên ngành: Quản trị dịch vụ du lịch và lữ hành,"Tổ hợp môn: A00,A01,D01,D97",NV1: 19.75
4,Mã ngành: 7340103P,Tên ngành: Quản trị dịch vụ du lịch & lữ hành (chương trình song ngữ Pháp-Việt),"Tổ hợp môn: D03,D64,D70,D97",NV1: 19.00
5,Mã ngành: 7340115,Tên ngành: Marketing,"Tổ hợp môn: A00,A01,D01,D96",NV1: 17.75
6,Mã ngành: 7340121,Tên ngành: Kinh doanh thương mại,"Tổ hợp môn: A00,A01,D01,D96",NV1: 17.75
7,Mã ngành: 7340201,Tên ngành: Tài chính – Ngân hàng,"Tổ hợp môn: A00,A01,D01,D96",NV1: 17.00
8,Mã ngành: 7340301,Tên ngành: Kế toán,"Tổ hợp môn: A00,A01,D01,D96",NV1: 17.25
9,Mã ngành: 7340405,Tên ngành: Hệ thống thông tin quản lý,"Tổ hợp môn: A00,A01,C01,D01",NV1: 15.50
10,Mã ngành: 7420201,Tên ngành: Công nghệ sinh học,"Tổ hợp môn: A00,A02,B00,D08",NV1: 16.00
11,Mã ngành: 7480201,Tên ngành: Công nghệ thông tin,"Tổ hợp môn: A00,A01,C01,D01",NV1: 17.50
12,Mã ngành: 7510103,Tên ngành: Công nghệ kỹ thuật xây dựng,"Tổ hợp môn: A00,A01,C01,D90",NV1: 16.00
13,Mã ngành: 7510201,Tên ngành: Công nghệ kỹ thuật cơ khí,"Tổ hợp môn: A00,A01,C01,D07",NV1: 16.00
14,Mã ngành: 7510202,Tên ngành: Công nghệ chế tạo máy,"Tổ hợp môn: A00,A01,C01,D07",NV1: 15.50
15,Mã ngành: 7510203,Tên ngành: Công nghệ kỹ thuật cơ điện tử,"Tổ hợp môn: A00,A01,C01,D07",NV1: 15.50
16,Mã ngành: 7510205,Tên ngành: Công nghệ kỹ thuật ô tô,"Tổ hợp môn: A00,A01,C01,D07",NV1: 17.00
17,Mã ngành: 7510206,Tên ngành: Công nghệ kỹ thuật nhiệt,"Tổ hợp môn: A00,A01,C01,D07",NV1: 15.50
18,Mã ngành: 7510301,"Tên ngành: Công nghệ kỹ thuật điện, điện tử","Tổ hợp môn: A00,A01,C01,D07",NV1: 16.00
19,Mã ngành: 7510401,Tên ngành: Công nghệ kỹ thuật hóa học,"Tổ hợp môn: A00,B00,C02,D07",NV1: 15.50
20,Mã ngành: 7510406,Tên ngành: Công nghệ kỹ thuật môi trường,"Tổ hợp môn: A00,A01,A02,B00",NV1: 15.50
21,Mã ngành: 7520122,Tên ngành: Kỹ thuật tàu thủy,"Tổ hợp môn: A00,A01,C01,D07",NV1: 16.00
22,Mã ngành: 7540102,Tên ngành: Công nghệ thực phẩm,"Tổ hợp môn: A00,A01,B00,D07",NV1: 16.00
23,Mã ngành: 7540104,Tên ngành: Công nghệ sau thu hoạch,"Tổ hợp môn: A00,A01,B00,D07",NV1: 15.50
24,Mã ngành: 7540105,Tên ngành: Công nghệ chế biến thủy sản,"Tổ hợp môn: A00,A01,B00,D07",NV1: 16.00
25,Mã ngành: 7620115,Tên ngành: Kinh tế nông nghiệp,"Tổ hợp môn: A00,A01,D01,D96",NV1: 15.50
26,Mã ngành: 7620301,Tên ngành: Nuôi trồng thủy sản,"Tổ hợp môn: A00,A01,B00,D07",NV1: 15.50
27,Mã ngành: 7620302,Tên ngành: Bệnh học thủy sản,"Tổ hợp môn: A00,A01,B00,D07",NV1: 15.50
28,Mã ngành: 7620304,Tên ngành: Kỹ thuật khai thác thủy sản,"Tổ hợp môn: A00,A01,C01,D07",NV1: 15.50
29,Mã ngành: 7620305,Tên ngành: Quản lý nguồn lợi thủy sản,"Tổ hợp môn: A00,A01,B00,D07",NV1: 15.50
30,Mã ngành: 7620399,Tên ngành: Quản lý thuỷ sản,"Tổ hợp môn: A00,A01,C01,D07",NV1: 15.50
31,Mã ngành: 7840106,Tên ngành: Khoa học hàng hải,"Tổ hợp môn: A00,A01,C01,D07",NV1: 15.50
32,,,,
33,,,,
