,0,1,2,3
0,Mã ngành: 1,Tên ngành: SP Toán học (chuyên ngành Toán học và Toán-Lý),Tổ hợp môn:,NV1: 13.00
1,Mã ngành: 10,Tên ngành: SP Lịch sử (chuyên ngành Lịch sử và Lịch sử-Địa),Tổ hợp môn:,NV1: 14.00
2,Mã ngành: 12,Tên ngành: SP Địa lý,Tổ hợp môn:,NV1: 13.00
3,Mã ngành: 12,Tên ngành: SP Địa lý:,Tổ hợp môn:,NV1: 14.00
4,Mã ngành: 13,Tên ngành: GD Chính trị,Tổ hợp môn:,NV1: 14.00
5,Mã ngành: 14,Tên ngành: GD Thể chất,Tổ hợp môn:,NV1: 14.00
6,Mã ngành: 15,Tên ngành: GD Tiểu học:,Tổ hợp môn:,NV1: 14.00
7,Mã ngành: 15,Tên ngành: GD Tiểu học,Tổ hợp môn:,NV1: 13.00
8,Mã ngành: 16,Tên ngành: GD Mầm non,Tổ hợp môn:,NV1: 12.00
9,Mã ngành: 17,Tên ngành: SP Tiếng Anh,Tổ hợp môn:,NV1: 13.00
10,Mã ngành: 18,Tên ngành: Lâm sinh:,Tổ hợp môn:,NV1: 14.00
11,Mã ngành: 18,Tên ngành: Lâm sinh,Tổ hợp môn:,NV1: 13.00
12,Mã ngành: 19,Tên ngành: Chăn nuôi:,Tổ hợp môn:,NV1: 14.00
13,Mã ngành: 19,Tên ngành: Chăn nuôi,Tổ hợp môn:,NV1: 13.00
14,Mã ngành: 20,Tên ngành: Bảo vệ thực vật:,Tổ hợp môn:,NV1: 14.00
15,Mã ngành: 20,Tên ngành: Bảo vệ thực vật,Tổ hợp môn:,NV1: 13.00
16,Mã ngành: 21,Tên ngành: Nông học:,Tổ hợp môn:,NV1: 14.00
17,Mã ngành: 21,Tên ngành: Nông học,Tổ hợp môn:,NV1: 13.00
18,Mã ngành: 22,Tên ngành: Quản lý tài nguyên rừng và bảo vệ môi trường:,Tổ hợp môn:,NV1: 14.00
19,Mã ngành: 22,Tên ngành: Quản lý tài nguyên rừng và bảo vệ môi trường,Tổ hợp môn:,NV1: 13.00
20,Mã ngành: 23,Tên ngành: Kế toán:,Tổ hợp môn:,NV1: 14.00
21,Mã ngành: 23,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 13.00
22,Mã ngành: 24,Tên ngành: Công nghệ thông tin,Tổ hợp môn:,NV1: 13.00
23,Mã ngành: 25,Tên ngành: Quản trị kinh doanh,Tổ hợp môn:,NV1: 13.00
24,Mã ngành: 26,Tên ngành: Tài chính-Ngân hàng,Tổ hợp môn:,NV1: 13.50
25,Mã ngành: 3,Tên ngành: SP Tin học,Tổ hợp môn:,NV1: 13.00
26,Mã ngành: 4,Tên ngành: SP Vật lí,Tổ hợp môn:,NV1: 13.00
27,Mã ngành: 5,Tên ngành: SP Hoá học:,Tổ hợp môn:,NV1: 14.00
28,Mã ngành: 5,Tên ngành: SP Hoá học,Tổ hợp môn:,NV1: 13.00
29,Mã ngành: 6,Tên ngành: SP Sinh học (chuyên ngành Sinh và Sinh-Hóa):,Tổ hợp môn:,NV1: 14.00
30,Mã ngành: 6,Tên ngành: SP Sinh học (chuyên ngành Sinh và Sinh-Hóa),Tổ hợp môn:,NV1: 13.00
31,Mã ngành: 8,Tên ngành: SP Ngữ văn (chuyên ngành Ngữ văn và Ngữ văn-GDCD),Tổ hợp môn:,NV1: 14.00
32,,,,
33,,,,
