,0,1,2,3
0,Mã ngành: 7140202,Tên ngành: Giáo dục tiểu học,Tổ hợp môn:,NV1: 17.00
1,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh,Tổ hợp môn:,NV1: 12.00
2,Mã ngành: 7340301,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 12.00
3,Mã ngành: 7420201,Tên ngành: Công nghệ sinh học,Tổ hợp môn:,NV1: 12.00
4,Mã ngành: 7420201,Tên ngành: Công nghệ sinh học,Tổ hợp môn:,NV1: 13.00
5,Mã ngành: 7480201,Tên ngành: Công nghệ thông tin,Tổ hợp môn:,NV1: 12.00
6,Mã ngành: 7510103,Tên ngành: Công nghệ kĩ thuật xây dựng,Tổ hợp môn:,NV1: 12.00
7,Mã ngành: 7510201,Tên ngành: Công nghệ kĩ thuật cơ khí,Tổ hợp môn:,NV1: 12.00
8,Mã ngành: 7540101,Tên ngành: Công nghệ thực phẩm,Tổ hợp môn:,NV1: 13.00
9,Mã ngành: 7540101,Tên ngành: Công nghệ thực phẩm,Tổ hợp môn:,NV1: 12.00
10,Mã ngành: 7620110,Tên ngành: Khoa học cây trồng,Tổ hợp môn:,NV1: 13.00
11,Mã ngành: 7620110,Tên ngành: Khoa học cây trồng,Tổ hợp môn:,NV1: 12.00
12,Mã ngành: 7620301,Tên ngành: Nuôi trồng thuỷ sản,Tổ hợp môn:,NV1: 13.00
13,Mã ngành: 7620301,Tên ngành: Nuôi trồng thuỷ sản,Tổ hợp môn:,NV1: 12.00
14,Mã ngành: C140201,Tên ngành: Giáo dục Mầm non,Tổ hợp môn:,NV1: 16.50
15,Mã ngành: C140206,Tên ngành: Giáo dục Thể chất,Tổ hợp môn:,NV1: 9.00
16,Mã ngành: C140221,Tên ngành: Sư phạm Âm nhạc,Tổ hợp môn:,NV1: 9.00
17,Mã ngành: C140222,Tên ngành: Sư phạm Mỹ thuật,Tổ hợp môn:,NV1: 9.00
18,Mã ngành: C140231,Tên ngành: Sư phạm Tiếng Anh,Tổ hợp môn:,NV1: 13.00
19,Mã ngành: C220201,Tên ngành: Tiếng Anh,Tổ hợp môn:,NV1: 9.00
20,Mã ngành: C340101,Tên ngành: Quản trị kinh doanh,Tổ hợp môn:,NV1: 9.00
21,Mã ngành: C340103,Tên ngành: Quản trị dịch vụ du lịch và lữ hành,Tổ hợp môn:,NV1: 9.00
22,Mã ngành: C340201,Tên ngành: Tài chính - Ngân hàng,Tổ hợp môn:,NV1: 9.00
23,Mã ngành: C340301,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 9.00
24,Mã ngành: C420201,Tên ngành: Công nghệ sinh học,Tổ hợp môn:,NV1: 10.00
25,Mã ngành: C420201,Tên ngành: Công nghệ sinh học,Tổ hợp môn:,NV1: 9.00
26,Mã ngành: C480201,Tên ngành: Công nghệ thông tin,Tổ hợp môn:,NV1: 9.00
27,Mã ngành: C510103,Tên ngành: Công nghệ kĩ thuật xây dựng,Tổ hợp môn:,NV1: 9.00
28,Mã ngành: C510201,Tên ngành: Công nghệ kĩ thuật cơ khí,Tổ hợp môn:,NV1: 9.00
29,Mã ngành: C510205,Tên ngành: Công nghệ kĩ thuật ô tô,Tổ hợp môn:,NV1: 9.00
30,Mã ngành: C510301,"Tên ngành: Công nghệ kĩ thuật điện, điện tử",Tổ hợp môn:,NV1: 9.00
31,Mã ngành: C540102,Tên ngành: Công nghệ thực phẩm,Tổ hợp môn:,NV1: 9.00
32,Mã ngành: C540102,Tên ngành: Công nghệ thực phẩm,Tổ hợp môn:,NV1: 10.00
33,Mã ngành: C540104,Tên ngành: Công nghệ sau thu hoạch,Tổ hợp môn:,NV1: 10.00
34,Mã ngành: C540104,Tên ngành: Công nghệ sau thu hoạch,Tổ hợp môn:,NV1: 9.00
35,Mã ngành: C540204,Tên ngành: Công nghệ may,Tổ hợp môn:,NV1: 10.00
36,Mã ngành: C540204,Tên ngành: Công nghệ may,Tổ hợp môn:,NV1: 9.00
37,Mã ngành: C620110,Tên ngành: Khoa học cây trồng,Tổ hợp môn:,NV1: 10.00
38,Mã ngành: C620110,Tên ngành: Khoa học cây trồng,Tổ hợp môn:,NV1: 9.00
39,Mã ngành: C620116,Tên ngành: Phát triển nông thôn,Tổ hợp môn:,NV1: 10.00
40,Mã ngành: C620116,Tên ngành: Phát triển nông thôn,Tổ hợp môn:,NV1: 9.00
41,Mã ngành: C620301,Tên ngành: Nuôi trồng thủy sản,Tổ hợp môn:,NV1: 10.00
42,Mã ngành: C620301,Tên ngành: Nuôi trồng thủy sản,Tổ hợp môn:,NV1: 9.00
43,Mã ngành: C640201,Tên ngành: Dịch vụ thú y,Tổ hợp môn:,NV1: 10.00
44,Mã ngành: C640201,Tên ngành: Dịch vụ thú y,Tổ hợp môn:,NV1: 9.00
