,0,1,2,3
0,Mã ngành: 7140201M,Tên ngành: Giáo dục Mầm non,Tổ hợp môn:,NV1: 26.75
1,Mã ngành: 7140201M1,Tên ngành: Giáo dục Mầm non,Tổ hợp môn:,NV1: 27.50
2,Mã ngành: 7140202A,Tên ngành: Giáo dục Tiều học,Tổ hợp môn:,NV1: 22.25
3,Mã ngành: 7140202C,Tên ngành: Giáo dục Tiều học,Tổ hợp môn:,NV1: 24.00
4,Mã ngành: 7140202D,Tên ngành: Giáo dục Tiều học,Tổ hợp môn:,NV1: 20.75
5,Mã ngành: 7140202M,Tên ngành: Giáo dục Tiều học,Tổ hợp môn:,NV1: 22.00
6,Mã ngành: 7140202M1,Tên ngành: Giáo dục Tiều học,Tổ hợp môn:,NV1: 21.00
7,Mã ngành: 7140203C,Tên ngành: Giáo dục Tiểu học - Tiếng Jrai,Tổ hợp môn:,NV1: 21.25
8,Mã ngành: 7140203D,Tên ngành: Giáo dục Tiểu học - Tiếng Jrai,Tổ hợp môn:,NV1: 17.25
9,Mã ngành: 7140203M1,Tên ngành: Giáo dục Tiểu học - Tiếng Jrai,Tổ hợp môn:,NV1: 22.75
10,Mã ngành: 7140203M2,Tên ngành: Giáo dục Tiểu học - Tiếng Jrai,Tổ hợp môn:,NV1: 17.50
11,Mã ngành: 7140205C,Tên ngành: Giáo dục chính trị,Tổ hợp môn:,NV1: 18.25
12,Mã ngành: 7140205D,Tên ngành: Giáo dục chính trị,Tổ hợp môn:,NV1: 15.00
13,Mã ngành: 7140205M1,Tên ngành: Giáo dục chính trị,Tổ hợp môn:,NV1: 18.00
14,Mã ngành: 7140206M,Tên ngành: Giáo dục thể chất,Tổ hợp môn:,NV1: 20.00
15,Mã ngành: 7140206T,Tên ngành: Giáo dục thể chất,Tổ hợp môn:,NV1: 20.00
16,Mã ngành: 7140209A,Tên ngành: Sư phạm Toán,Tổ hợp môn:,NV1: 23.25
17,Mã ngành: 7140211A,Tên ngành: Sư phạm Lý,Tổ hợp môn:,NV1: 22.00
18,Mã ngành: 7140212A,Tên ngành: Sư phạm Hoá học,Tổ hợp môn:,NV1: 22.25
19,Mã ngành: 7140213B,Tên ngành: Sư phạm Sinh học,Tổ hợp môn:,NV1: 20.50
20,Mã ngành: 7140217C,Tên ngành: Sư phạm Ngữ văn,Tổ hợp môn:,NV1: 21.25
21,Mã ngành: 7220201D,Tên ngành: Ngôn Ngữ Anh,Tổ hợp môn:,NV1: 19.00
22,Mã ngành: 7220301A,Tên ngành: Triết học,Tổ hợp môn:,NV1: 15.00
23,Mã ngành: 7220301C,Tên ngành: Triết học,Tổ hợp môn:,NV1: 15.00
24,Mã ngành: 7220301D,Tên ngành: Triết học,Tổ hợp môn:,NV1: 15.00
25,Mã ngành: 7220301M,Tên ngành: Triết học,Tổ hợp môn:,NV1: 15.00
26,Mã ngành: 7220330C,Tên ngành: Văn học,Tổ hợp môn:,NV1: 15.00
27,Mã ngành: 7310101A,Tên ngành: Kinh tế,Tổ hợp môn:,NV1: 17.00
28,Mã ngành: 7310101D,Tên ngành: Kinh tế,Tổ hợp môn:,NV1: 15.00
29,Mã ngành: 7340101A,Tên ngành: Quản trị kinh doanh,Tổ hợp môn:,NV1: 15.00
30,Mã ngành: 7340101D,Tên ngành: Quản trị kinh doanh,Tổ hợp môn:,NV1: 15.00
31,Mã ngành: 7340201A,Tên ngành: Tài chính ngân hàng,Tổ hợp môn:,NV1: 15.00
32,Mã ngành: 7340201D,Tên ngành: Tài chính ngân hàng,Tổ hợp môn:,NV1: 15.00
33,Mã ngành: 7340201DLT,Tên ngành: Tài chính ngân hàng,Tổ hợp môn:,NV1: 15.00
34,Mã ngành: 7340301A,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 18.00
35,Mã ngành: 7340301D,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 15.00
36,Mã ngành: 7420101B,Tên ngành: Sinh học,Tổ hợp môn:,NV1: 15.00
37,Mã ngành: 7420201A,Tên ngành: Công nghệ sinh học,Tổ hợp môn:,NV1: 15.00
38,Mã ngành: 7420201B,Tên ngành: Công nghệ sinh học,Tổ hợp môn:,NV1: 17.00
39,Mã ngành: 7480201A,Tên ngành: Công nghệ Thông tin,Tổ hợp môn:,NV1: 17.00
40,Mã ngành: 7510406A,Tên ngành: Công nghệ kỹ thuật Môi trường,Tổ hợp môn:,NV1: 15.00
41,Mã ngành: 7510406B,Tên ngành: Công nghệ kỹ thuật Môi trường,Tổ hợp môn:,NV1: 15.00
