,0,1,2,3
0,Mã ngành: 7210403,Tên ngành: Thiết kế đồ họa,Tổ hợp môn: H00,NV1: 15.00
1,Mã ngành: 7210404,Tên ngành: Thiết kế thời trang,Tổ hợp môn: H00,NV1: 15.00
2,Mã ngành: 7210405,Tên ngành: Thiết kế nội thất,Tổ hợp môn: H00,NV1: 15.00
3,Mã ngành: 7310205,Tên ngành: Quản lý nhà nước,"Tổ hợp môn: A00,A01,C04,D01",NV1: 15.00
4,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh,"Tổ hợp môn: A00,A01,A04,D01",NV1: 15.00
5,Mã ngành: 7340103,Tên ngành: Quản trị dịch vụ du lịch và lữ hành,"Tổ hợp môn: A00,A01,C00,D01",NV1: 15.00
6,Mã ngành: 7340201,Tên ngành: Tài chính – Ngân hàng,"Tổ hợp môn: A00,A01,C04,D01",NV1: 15.00
7,Mã ngành: 7340301,Tên ngành: Kế toán,"Tổ hợp môn: A00,A01,C04,D01",NV1: 15.00
8,Mã ngành: 7380107,Tên ngành: Luật kinh tế,"Tổ hợp môn: A00,A01,C00,D01",NV1: 15.00
9,Mã ngành: 7480201,Tên ngành: Công nghệ thông tin,"Tổ hợp môn: A00,A01,C04,D01",NV1: 15.00
10,Mã ngành: 7510302,"Tên ngành: Công nghệ kỹ thuật điện tử, truyền thông","Tổ hợp môn: A00,A01,C04,D01",NV1: 15.00
11,Mã ngành: 7580102,Tên ngành: Kiến trúc,"Tổ hợp môn: H00,H01,V00,V01",NV1: 15.00
12,Mã ngành: 7580302,Tên ngành: Quản lý xây dựng,"Tổ hợp môn: A00,A01,C04,D01",NV1: 15.00
