,0,1,2,3
0,Mã ngành: 51140202,Tên ngành: Giáo dục Tiểu học.,"Tổ hợp môn: A00,B00,C00,D01",NV1: 18.00
1,Mã ngành: 51140212,Tên ngành: Sư phạm Hóa học.,"Tổ hợp môn: A00,A01,B00,D07",NV1: 10.25
2,Mã ngành: 51140231,Tên ngành: Sư phạm Tiếng Anh.,"Tổ hợp môn: A01,D01,D14,D15",NV1: 16.00
3,Mã ngành: 7140209,Tên ngành: Sư phạm Toán học,"Tổ hợp môn: A00,A01",NV1: 15.50
4,Mã ngành: 7140209_1,Tên ngành: Sư phạm Toán học (TS hộ khẩu ngoài Khánh Hòa),"Tổ hợp môn: A00,A01,B00,D07",NV1: 16.75
5,Mã ngành: 7140211,Tên ngành: Sư phạm Vật lý,"Tổ hợp môn: A00,A01,B00,D07",NV1: 15.50
6,Mã ngành: 7140211_1,Tên ngành: Sư phạm Vật lý (TS hộ khẩu ngoài Khánh Hòa),"Tổ hợp môn: A00,A01,B00,D07",NV1: 15.50
7,Mã ngành: 7140217,Tên ngành: Sư phạm Ngữ văn,"Tổ hợp môn: C00,D01,D14,D15",NV1: 16.75
8,Mã ngành: 7140217_1,Tên ngành: Sư phạm Ngữ văn (TS hộ khẩu ngoài Khánh Hòa),"Tổ hợp môn: C00,D01,D14,D15",NV1: 20.25
9,Mã ngành: 7220113,Tên ngành: Việt Nam học,"Tổ hợp môn: A01,D01,D14,D15",NV1: 16.50
10,Mã ngành: 7220201,Tên ngành: Ngôn ngữ Anh,"Tổ hợp môn: A01,D01,D14,D15",NV1: 19.25
11,Mã ngành: 7340103,Tên ngành: Quản trị dịch vụ du lịch và lữ hành,"Tổ hợp môn: A01,D01,D14,D15",NV1: 17.75
12,Mã ngành: 7420203,Tên ngành: Sinh học ứng dụng,"Tổ hợp môn: A00,A01,B00,D07",NV1: 15.50
13,Mã ngành: 7440112,Tên ngành: Hóa học,"Tổ hợp môn: A00,A01,B00,D07",NV1: 15.50
