,0,1,2,3
0,Mã ngành: 7220112C0,Tên ngành: Văn hóa các dân tộc thiểu số Việt Nam C00,Tổ hợp môn: C00,NV1: 20.00
1,Mã ngành: 7220112D1,Tên ngành: Văn hóa các dân tộc thiểu số Việt Nam D01,Tổ hợp môn: D01,NV1: 17.00
2,Mã ngành: 7220112D7,Tên ngành: Văn hóa các dân tộc thiểu số Việt Nam D78,Tổ hợp môn: D78,NV1: 17.00
3,Mã ngành: 7220113AC0,Tên ngành: Việt Nam học - Văn hóa du lịch C00,Tổ hợp môn: C00,NV1: 24.00
4,Mã ngành: 7220113AD1,Tên ngành: Việt Nam học - Văn hóa du lịch D01,Tổ hợp môn: D01,NV1: 21.00
5,Mã ngành: 7220113AD9,Tên ngành: Việt Nam học - Văn hóa du lịch D96,Tổ hợp môn: D96,NV1: 21.00
6,Mã ngành: 7220113BC0,"Tên ngành: Việt Nam học - Lữ hành, Hướng dẫn du lịch C00",Tổ hợp môn: C00,NV1: 25.50
7,Mã ngành: 7220113BD1,"Tên ngành: Việt Nam học - Lữ hành, Hướng dẫn du lịch D01",Tổ hợp môn: D01,NV1: 22.50
8,Mã ngành: 7220113BD9,"Tên ngành: Việt Nam học - Lữ hành, Hướng dẫn du lịch D96",Tổ hợp môn: D96,NV1: 22.50
9,Mã ngành: 7220113CD1,Tên ngành: Việt Nam học - Hướng dân du lịch quốc tế D01,Tổ hợp môn: D01,NV1: 21.50
10,Mã ngành: 7220113CD7,Tên ngành: Việt Nam học - Hướng dẫn du lịch quốc tế D78,Tổ hợp môn: D78,NV1: 21.50
11,Mã ngành: 7220113CD9,Tên ngành: Việt Nam học - Hướng dẫn du lịch quốc tế D96,Tổ hợp môn: D96,NV1: 21.50
12,Mã ngành: 7220113LTC0,Tên ngành: Liên thông Việt Nam học C00,Tổ hợp môn: C00,NV1: 25.00
13,Mã ngành: 7220113LTD1,Tên ngành: Liên thông Việt Nam học D01,Tổ hợp môn: D01,NV1: 22.00
14,Mã ngành: 7220113LTD9,Tên ngành: Liên thông Việt Nam học D96,Tổ hợp môn: D96,NV1: 22.00
15,Mã ngành: 7220201D1,Tên ngành: Ngôn ngữ Anh,Tổ hợp môn: D01,NV1: 19.00
16,Mã ngành: 7220340AA1,Tên ngành: Văn hóa học - Nghiên cứu văn hóa A16,Tổ hợp môn: A16,NV1: 18.50
17,Mã ngành: 7220340AC0,Tên ngành: Văn hóa học - Nghiên cứu văn hóa C00,Tổ hợp môn: C00,NV1: 21.50
18,Mã ngành: 7220340AD1,Tên ngành: Văn hóa học - Nghiên cứu văn hóa D01,Tổ hợp môn: D01,NV1: 18.50
19,Mã ngành: 7220340BA1,Tên ngành: Văn hóa học - Văn hóa truyền thông A16,Tổ hợp môn: A16,NV1: 20.50
20,Mã ngành: 7220340BC0,Tên ngành: Văn hóa học - Văn hóa truyền thông C00,Tổ hợp môn: C00,NV1: 23.50
21,Mã ngành: 7220340BD1,Tên ngành: Văn hóa học - Văn hóa truyền thông D01,Tổ hợp môn: D01,NV1: 20.50
22,Mã ngành: 7220341C0,Tên ngành: Gia đình học C00,Tổ hợp môn: C00,NV1: 19.50
23,Mã ngành: 7220341D1,Tên ngành: Gia đình học D01,Tổ hợp môn: D01,NV1: 16.50
