,0,1,2,3
0,Mã ngành: 101,Tên ngành: Thư viện - Thông tin,Tổ hợp môn:,NV1: 14.00
1,Mã ngành: 201,Tên ngành: Bảo tàng học,Tổ hợp môn:,NV1: 14.00
2,Mã ngành: 301,Tên ngành: Văn hóa du lịch,Tổ hợp môn:,NV1: 13.00
3,Mã ngành: 401,Tên ngành: Phát hành Xuất bản phẩm,Tổ hợp môn:,NV1: 14.00
4,Mã ngành: 501,Tên ngành: Quản lý HĐ Mỹ thuật,Tổ hợp môn:,NV1: 12.50
5,Mã ngành: 501,Tên ngành: Quản lý HĐ Sân khấu,Tổ hợp môn:,NV1: 12.50
6,Mã ngành: 501,Tên ngành: Quản lý HĐ Âm nhạc,Tổ hợp môn:,NV1: 12.50
7,Mã ngành: 501,Tên ngành: Quản lý Văn hoá,Tổ hợp môn:,NV1: 14.00
8,Mã ngành: 601,Tên ngành: Văn hoá Dân tộc Thiểu số,Tổ hợp môn:,NV1: 14.00
9,Mã ngành: 701,Tên ngành: Văn hoá học,Tổ hợp môn:,NV1: 14.00
