,0,1,2,3
0,Mã ngành: 1,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 10.00
1,Mã ngành: 10,Tên ngành: Nuôi trồng thủy sản,Tổ hợp môn:,NV1: 11.00
2,Mã ngành: 10,Tên ngành: Nuôi trồng thủy sản,Tổ hợp môn:,NV1: 10.00
3,Mã ngành: 2,Tên ngành: Quản trị kinh doanh,Tổ hợp môn:,NV1: 10.00
4,Mã ngành: 3,Tên ngành: Tin học ứng dụng,Tổ hợp môn:,NV1: 10.00
5,Mã ngành: 4,Tên ngành: Công nghệ kỹ thuật ôtô,Tổ hợp môn:,NV1: 10.00
6,Mã ngành: 5,Tên ngành: Công nghệ kỹ thuật cơ khí,Tổ hợp môn:,NV1: 10.00
7,Mã ngành: 5,Tên ngành: Công nghệ kỹ thuật cơ khí (Holcim),Tổ hợp môn:,NV1: 10.50
8,Mã ngành: 6,Tên ngành: Công nghệ kỹ thuật Điện – Điện tử,Tổ hợp môn:,NV1: 10.00
9,Mã ngành: 7,Tên ngành: Công nghệ kỹ thuật Điện tử - truyền thông,Tổ hợp môn:,NV1: 10.00
10,Mã ngành: 8,Tên ngành: Công nghệ kỹ thuật xây dựng,Tổ hợp môn:,NV1: 10.00
11,Mã ngành: 9,Tên ngành: Dịch vụ thú y,Tổ hợp môn:,NV1: 11.00
12,Mã ngành: 9,Tên ngành: Dịch vụ thú y,Tổ hợp môn:,NV1: 10.00
