,0,1,2,3
0,Mã ngành: 119,Tên ngành: - Công nghệ thông tin,Tổ hợp môn:,NV1: 13.00
1,Mã ngành: 401,Tên ngành: - Quản trị kinh doanh,Tổ hợp môn:,NV1: 13.00
2,Mã ngành: 402,Tên ngành: - Kế toán,Tổ hợp môn:,NV1: 13.00
3,Mã ngành: 403,Tên ngành: - Tài chính - Ngân hàng,Tổ hợp môn:,NV1: 13.00
4,Mã ngành: 404,Tên ngành: - Quản trị du lịch,Tổ hợp môn:,NV1: 13.00
5,Mã ngành: 405,Tên ngành: - Kinh tế đối ngoại,Tổ hợp môn:,NV1: 13.00
6,Mã ngành: 601,Tên ngành: - Ngữ văn,Tổ hợp môn:,NV1: 14.00
7,Mã ngành: 702,Tên ngành: - Tiếng Anh,Tổ hợp môn:,NV1: 12.00
8,Mã ngành: C65,Tên ngành: - Kế toán,Tổ hợp môn:,NV1: 10.00
9,Mã ngành: C66,Tên ngành: - Tài chính - Ngân hàng,Tổ hợp môn:,NV1: 10.00
10,Mã ngành: C67,Tên ngành: - Công nghệ thông tin,Tổ hợp môn:,NV1: 10.00
