,0,1,2,3
0,Mã ngành: 7220201,Tên ngành: Ngôn ngữ Anh,"Tổ hợp môn: A01,D01,D07,D14",NV1: 15.00
1,Mã ngành: 7340101,Tên ngành: Quản tri kinh doanh,"Tổ hợp môn: A00,A01,B00,D01",NV1: 15.00
2,Mã ngành: 7340301,Tên ngành: Kế toán,"Tổ hợp môn: A00,A01,B00,D01",NV1: 15.00
3,Mã ngành: 7420201,Tên ngành: Công nghệ sinh học,"Tổ hợp môn: A00,A01,B00,D01",NV1: 15.00
4,Mã ngành: 7440112,Tên ngành: Hóa học,"Tổ hợp môn: A00,A01,B00,D01",NV1: 15.00
5,Mã ngành: 7480201,Tên ngành: Công nghệ thông tin,"Tổ hợp môn: A00,A01,B00,D01",NV1: 15.00
6,Mã ngành: 7510201,Tên ngành: Công nghệ kỹ thuật cơ khí,"Tổ hợp môn: A00,A01,B00,D01",NV1: 15.00
7,Mã ngành: 7510301,"Tên ngành: Công nghệ kỹ thuật điện, điện tử","Tổ hợp môn: A00,A01,B00,D01",NV1: 15.00
8,Mã ngành: 7510303,Tên ngành: Công nghệ kỹ thuật điều khiển và tự động hóa (gồm các chuyên ngành: Điều khiển tự động; Tự động hóa công nghiệp; Đo lường – Điều khiển công,"Tổ hợp môn: A00,A01,B00,D01",NV1: 15.00
9,Mã ngành: 7510401,Tên ngành: Công nghệ kỹ thuật hóa học,"Tổ hợp môn: A00,A01,B00,D01",NV1: 15.00
10,Mã ngành: 7510406,Tên ngành: Công nghệ kỹ thuật môi trường,"Tổ hợp môn: A00,A01,B00,D01",NV1: 15.00
