,0,1,2,3
0,Mã ngành: 7480102,Tên ngành: Kỹ thuật cơ khí (*),Tổ hợp môn:,NV1: 17.00
1,Mã ngành: 7480201,Tên ngành: Công nghệ thông tin,Tổ hợp môn:,NV1: 16.00
2,Mã ngành: 7510105,Tên ngành: Công nghệ kỹ thuật vật liệu xây dựng,Tổ hợp môn:,NV1: 17.00
3,Mã ngành: 7510406,Tên ngành: Cấp thoát nước,Tổ hợp môn:,NV1: 17.00
4,Mã ngành: 7520503,Tên ngành: Kỹ thuật trắc địa - bản đồ,Tổ hợp môn:,NV1: 17.00
5,Mã ngành: 7580102,Tên ngành: Kiến trúc,Tổ hợp môn:,NV1: 26.00
6,Mã ngành: 7580105,Tên ngành: Quy hoạch Vùng và Đô thị,Tổ hợp môn:,NV1: 17.00
7,Mã ngành: 7580201,Tên ngành: Kỹ thuật công trình xây dựng,Tổ hợp môn:,NV1: 17.00
8,Mã ngành: 7580201,Tên ngành: Hệ Thống Kỹ thuật trong Công Trình,Tổ hợp môn:,NV1: 20.00
9,Mã ngành: 7580201,Tên ngành: Xây dựng Dân dụng và Công nghiệp,Tổ hợp môn:,NV1: 20.00
10,Mã ngành: 7580203,Tên ngành: Kỹ thuật công trình biển,Tổ hợp môn:,NV1: 17.00
11,Mã ngành: 7580205,Tên ngành: Kỹ thuật xây dựng công trình giao thông,Tổ hợp môn:,NV1: 19.00
12,Mã ngành: 7580301,Tên ngành: Kinh tế xây dựng,Tổ hợp môn:,NV1: 20.00
13,Mã ngành: 7580302,Tên ngành: Quản lý xây dựng,Tổ hợp môn:,NV1: 17.00
14,Mã ngành: 7580406,Tên ngành: Công nghệ kỹ thuật môi trường,Tổ hợp môn:,NV1: 17.00
