,0,1,2,3
0,Mã ngành: 7580201,Tên ngành: Kỹ thuật xây dựng công trình giao thông (CN Xây dựng cầu đường),Tổ hợp môn:,NV1: 15.00
1,Mã ngành: 7580201,Tên ngành: Kỹ thuật công trình xây dựng (CN Xây dựng dân dụng và công nghiệp),Tổ hợp môn:,NV1: 15.00
2,Mã ngành: 7580201,Tên ngành: Kiến trúc (điểm môn vẽ mỹ thuật từ 3.5 trở lên và được nhân hệ số 2),Tổ hợp môn:,NV1: 20.00
3,Mã ngành: 7580201,Tên ngành: Kinh tế xây dựng,Tổ hợp môn:,NV1: 15.00
4,Mã ngành: 7580201,Tên ngành: Quản lý xây dựng,Tổ hợp môn:,NV1: 15.00
5,Mã ngành: 7580201,Tên ngành: Kỹ thuật môi trường,Tổ hợp môn:,NV1: 15.00
6,Mã ngành: C340101,Tên ngành: Quản trị kinh doanh,Tổ hợp môn:,NV1: 12.00
7,Mã ngành: C340301,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 12.00
8,Mã ngành: C480201,Tên ngành: Công nghệ thông tin,Tổ hợp môn:,NV1: 12.00
9,Mã ngành: C510101,Tên ngành: Công nghệ Kỹ thuật kiến trúc,Tổ hợp môn:,NV1: 12.00
10,Mã ngành: C510102,Tên ngành: Công nghệ kỹ thuật công trình xây dựng (CN Xây dựng dân dụng và công nghiệp),Tổ hợp môn:,NV1: 12.00
11,Mã ngành: C510103,Tên ngành: Công nghệ kỹ thuật xây dựng (Chuyên ngành Kỹ thuật hạ tầng đô thị),Tổ hợp môn:,NV1: 12.00
12,Mã ngành: C510104,Tên ngành: Công nghệ kỹ thuật giao thông (CN Xây dựng cầu đường),Tổ hợp môn:,NV1: 12.00
13,Mã ngành: C510301,Tên ngành: Công nghệ Kỹ thuật điện – điện tử (CN Công nghệ Kỹ thuật điện công trình),Tổ hợp môn:,NV1: 12.00
14,Mã ngành: C510405,Tên ngành: Công nghệ kỹ thuật tài nguyên nước,Tổ hợp môn:,NV1: 12.00
15,Mã ngành: C580302,Tên ngành: Quản lý xây dựng,Tổ hợp môn:,NV1: 12.00
16,,,,
