,0,1,2,3
0,Mã ngành: 7720101,Tên ngành: Y đa khoa (Ngoài vùng ĐBSCL),Tổ hợp môn:,NV1: 26.00
1,Mã ngành: 7720101,Tên ngành: Y đa khoa,Tổ hợp môn:,NV1: 25.75
2,Mã ngành: 7720103,Tên ngành: Y học dự phòng (vùng ĐBSCL),Tổ hợp môn:,NV1: 24.25
3,Mã ngành: 7720103,Tên ngành: Y học dự phòng (Ngoài vùng ĐBSCL),Tổ hợp môn:,NV1: 24.50
4,Mã ngành: 7720201,Tên ngành: Y học cổ truyền (vùng ĐBSCL),Tổ hợp môn:,NV1: 24.75
5,Mã ngành: 7720201,Tên ngành: Y học cổ truyền (Ngoài vùng ĐBSCL),Tổ hợp môn:,NV1: 24.75
6,Mã ngành: 7720301,Tên ngành: Y tế công cộng (vùng ĐBSCL),Tổ hợp môn:,NV1: 22.25
7,Mã ngành: 7720301,Tên ngành: Y tế công cộng,Tổ hợp môn:,NV1: 22.25
8,Mã ngành: 7720332,Tên ngành: Xét nghiệm y học (vùng ĐBSCL),Tổ hợp môn:,NV1: 23.75
9,Mã ngành: 7720332,Tên ngành: Xét nghiệm y học (Ngoài vùng ĐBSCL),Tổ hợp môn:,NV1: 23.75
10,Mã ngành: 7720401,Tên ngành: Dược học (vùng ĐBSCL),Tổ hợp môn:,NV1: 25.50
11,Mã ngành: 7720401,Tên ngành: Dược học (Ngoài vùng ĐBSCL),Tổ hợp môn:,NV1: 25.75
12,Mã ngành: 7720501,Tên ngành: Điều dưỡng đa khoa (vùng ĐBSCL),Tổ hợp môn:,NV1: 22.75
13,Mã ngành: 7720501,Tên ngành: Điều dưỡng đa khoa (Ngoài vùng ĐBSCL),Tổ hợp môn:,NV1: 23.00
14,Mã ngành: 7720601,Tên ngành: Răng hàm mặt (vùng ĐBSCL),Tổ hợp môn:,NV1: 25.75
15,Mã ngành: 7720601,Tên ngành: Răng hàm mặt (Ngoài vùng ĐBSCL),Tổ hợp môn:,NV1: 26.00
16,,,,
