,0,1,2,3
0,Mã ngành: 7720101,Tên ngành: Y đa khoa,Tổ hợp môn:,NV1: 25.75
1,Mã ngành: 7720301,Tên ngành: Y tế công cộng,Tổ hợp môn:,NV1: 21.00
2,Mã ngành: 7720330,Tên ngành: Kỹ thuật hình ảnh y học,Tổ hợp môn:,NV1: 23.25
3,Mã ngành: 7720332,Tên ngành: Xét nghiệm y học,Tổ hợp môn:,NV1: 23.00
4,Mã ngành: 7720401,Tên ngành: Dược học,Tổ hợp môn:,NV1: 24.50
5,Mã ngành: 7720501,Tên ngành: Điều dưỡng đa khoa,Tổ hợp môn:,NV1: 21.25
6,Mã ngành: 7720503,Tên ngành: Phục hồi chức năng,Tổ hợp môn:,NV1: 21.75
7,Mã ngành: 7720504,Tên ngành: Điều dưỡng nha khoa,Tổ hợp môn:,NV1: 21.00
8,Mã ngành: 7720505,Tên ngành: Điều dưỡng gây mê hồi sức,Tổ hợp môn:,NV1: 21.00
9,Mã ngành: C720330,Tên ngành: Kỹ thuật hình ảnh y học,Tổ hợp môn:,NV1: 19.00
10,Mã ngành: C720332,Tên ngành: Xét nghiệm y học,Tổ hợp môn:,NV1: 20.00
11,Mã ngành: C720501,Tên ngành: Điều dưỡng đa khoa,Tổ hợp môn:,NV1: 20.00
12,Mã ngành: C720502,Tên ngành: Hô sinh,Tổ hợp môn:,NV1: 18.75
13,Mã ngành: C720503,Tên ngành: Phục hồi chức năng,Tổ hợp môn:,NV1: 19.00
14,Mã ngành: C720504,Tên ngành: Điêu dưỡng nha khoa,Tổ hợp môn:,NV1: 19.25
15,Mã ngành: C720505,Tên ngành: Điêu dưỡng gây mê hôi sức,Tổ hợp môn:,NV1: 19.00
16,Mã ngành: C900107,Tên ngành: Dươc hoc,Tổ hợp môn:,NV1: 22.00
17,,,,
18,,,,
