,0,1,2,3
0,Mã ngành: 7720101,Tên ngành: Y khoa,Tổ hợp môn: B00,NV1: 27.00
1,Mã ngành: 7720101_02,Tên ngành: Y khoa (có CC Tiếng Anh),Tổ hợp môn: B00,NV1: 24.70
2,Mã ngành: 7720110,Tên ngành: Y học dự phòng,Tổ hợp môn: B00,NV1: 20.50
3,Mã ngành: 7720115,Tên ngành: Y học cổ truyền,Tổ hợp môn: B00,NV1: 22.40
4,Mã ngành: 7720201,Tên ngành: Dược học,Tổ hợp môn: B00,NV1: 23.85
5,Mã ngành: 7720201 _02,Tên ngành: Dược học (có CC Tiếng Anh),Tổ hợp môn: B00,NV1: 21.85
6,Mã ngành: 7720301,Tên ngành: Điều dưỡng,Tổ hợp môn: B00,NV1: 21.50
7,Mã ngành: 7720301_02,Tên ngành: Điều dưỡng chuyên ngành Hộ sinh,Tổ hợp môn: B00,NV1: 20.00
8,Mã ngành: 7720301_03,Tên ngành: Điều dưỡng chuyên ngành Gây mê hồi sức,Tổ hợp môn: B00,NV1: 21.25
9,Mã ngành: 7720401,Tên ngành: Dinh dưỡng,Tổ hợp môn: B00,NV1: 21.70
10,Mã ngành: 7720501,Tên ngành: Răng - Hàm - Mặt,Tổ hợp môn: B00,NV1: 26.10
11,Mã ngành: 7720502,Tên ngành: Kỹ thuật phục hình răng,Tổ hợp môn: B00,NV1: 22.55
12,Mã ngành: 7720601,Tên ngành: Kỹ thuật xét nghiệm y học,Tổ hợp môn: B00,NV1: 23.00
13,Mã ngành: 7720602,Tên ngành: Kỹ thuật hình ảnh y học,Tổ hợp môn: B00,NV1: 22.00
14,Mã ngành: 7720603,Tên ngành: Kỹ thuật phục hồi chức năng,Tổ hợp môn: B00,NV1: 21.10
15,Mã ngành: 7720701,Tên ngành: Y tế công cộng,Tổ hợp môn: B00,NV1: 18.50
16,,,,
