,0,1,2,3
0,Mã ngành: 7720101,Tên ngành: Y đa khoa,Tổ hợp môn: B00,NV1: 27.00
1,Mã ngành: 7720101_YHT,Tên ngành: Y Đa khoa phân hiệu Thanh Hóa,Tổ hợp môn: B00,NV1: 24.50
2,Mã ngành: 7720103,Tên ngành: Y học dự phòng,Tổ hợp môn: B00,NV1: 24.00
3,Mã ngành: 7720199,Tên ngành: Khúc xạ nhãn khoa,Tổ hợp môn: B00,NV1: 24.50
4,Mã ngành: 7720201,Tên ngành: Bác sỹ Y học cổ truyền,Tổ hợp môn: B00,NV1: 25.50
5,Mã ngành: 7720301,Tên ngành: Y tế công cộng,Tổ hợp môn: B00,NV1: 23.25
6,Mã ngành: 7720303,Tên ngành: Dinh dưỡng,Tổ hợp môn: B00,NV1: 23.50
7,Mã ngành: 7720332,Tên ngành: Xét nghiệm y học,Tổ hợp môn: B00,NV1: 24.75
8,Mã ngành: 7720501,Tên ngành: Điều dưỡng,Tổ hợp môn: B00,NV1: 24.00
9,Mã ngành: 7720601,Tên ngành: Răng - Hàm - Mặt,Tổ hợp môn: B00,NV1: 26.75
