,0,1,2,3
0,Mã ngành: 100,Tên ngành: Sư phạm Toán học,Tổ hợp môn:,NV1: 16.00
1,Mã ngành: 101,Tên ngành: Sư phạm Tin học,Tổ hợp môn:,NV1: 15.00
2,Mã ngành: 102,Tên ngành: Sư phạm Vật lý,Tổ hợp môn:,NV1: 15.00
3,Mã ngành: 103,Tên ngành: Toán học,Tổ hợp môn:,NV1: 13.00
4,Mã ngành: 104,Tên ngành: Khoa học máy tính,Tổ hợp môn:,NV1: 13.00
5,Mã ngành: 105,Tên ngành: Vật lý học,Tổ hợp môn:,NV1: 13.00
6,Mã ngành: 106,Tên ngành: Kỹ thuật Xây dựng,Tổ hợp môn:,NV1: 15.00
7,Mã ngành: 107,Tên ngành: Công nghệ Thông tin,Tổ hợp môn:,NV1: 14.00
8,Mã ngành: 108,Tên ngành: Kỹ thuật Điện tử truyền thông,Tổ hợp môn:,NV1: 14.00
9,Mã ngành: 109,Tên ngành: Toán ứng dụng,Tổ hợp môn:,NV1: 13.00
10,Mã ngành: 201,Tên ngành: Sư Phạm Hoá học,Tổ hợp môn:,NV1: 15.00
11,Mã ngành: 202,Tên ngành: Hoá học,Tổ hợp môn:,NV1: 13.00
12,Mã ngành: 204,Tên ngành: Công nghệ thực phẩm,Tổ hợp môn:,NV1: 13.00
13,Mã ngành: 205,Tên ngành: Quản lí đất đai,Tổ hợp môn:,NV1: 14.00
14,Mã ngành: 205,Tên ngành: Quản lí đất đai,Tổ hợp môn:,NV1: 13.00
15,Mã ngành: 301,Tên ngành: Sư phạm Sinh học,Tổ hợp môn:,NV1: 15.00
16,Mã ngành: 302,Tên ngành: Sinh học,Tổ hợp môn:,NV1: 14.00
17,Mã ngành: 303,Tên ngành: Nuôi trồng thủy sản,Tổ hợp môn:,NV1: 14.00
18,Mã ngành: 303,Tên ngành: Nuôi trồng thủy sản,Tổ hợp môn:,NV1: 13.00
19,Mã ngành: 304,Tên ngành: Nông nghiệp,Tổ hợp môn:,NV1: 14.00
20,Mã ngành: 304,Tên ngành: Nông nghiệp,Tổ hợp môn:,NV1: 13.00
21,Mã ngành: 305,Tên ngành: Khuyến nông,Tổ hợp môn:,NV1: 14.00
22,Mã ngành: 305,Tên ngành: Khuyến nông,Tổ hợp môn:,NV1: 13.00
23,Mã ngành: 306,Tên ngành: Khoa học Môi trường,Tổ hợp môn:,NV1: 14.00
24,Mã ngành: 307,Tên ngành: Quản lí tài nguyên và môi trường,Tổ hợp môn:,NV1: 14.00
25,Mã ngành: 307,Tên ngành: Quản lí tài nguyên và môi trường,Tổ hợp môn:,NV1: 13.00
26,Mã ngành: 400,Tên ngành: Quản trị kinh doanh,Tổ hợp môn:,NV1: 15.00
27,Mã ngành: 401,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 16.00
28,Mã ngành: 402,Tên ngành: Tài chính ngân hàng,Tổ hợp môn:,NV1: 16.00
29,Mã ngành: 501,Tên ngành: Giáo dục Chính trị,Tổ hợp môn:,NV1: 15.00
30,Mã ngành: 502,Tên ngành: Chính trị học,Tổ hợp môn:,NV1: 14.00
31,Mã ngành: 503,Tên ngành: Luật,Tổ hợp môn:,NV1: 16.00
32,Mã ngành: 503,Tên ngành: Luật,Tổ hợp môn:,NV1: 14.00
33,Mã ngành: 504,Tên ngành: Giáo dục quốc phòng an ninh,Tổ hợp môn:,NV1: 15.00
34,Mã ngành: 601,Tên ngành: Sư phạm Ngữ văn,Tổ hợp môn:,NV1: 17.00
35,Mã ngành: 602,Tên ngành: Sư phạm Lịch sử,Tổ hợp môn:,NV1: 16.00
36,Mã ngành: 603,Tên ngành: Sư phạm Địa lý,Tổ hợp môn:,NV1: 15.00
37,Mã ngành: 604,Tên ngành: Văn học,Tổ hợp môn:,NV1: 14.00
38,Mã ngành: 605,Tên ngành: Lịch sử,Tổ hợp môn:,NV1: 14.00
39,Mã ngành: 606,Tên ngành: Du lịch,Tổ hợp môn:,NV1: 14.00
40,Mã ngành: 607,Tên ngành: Công tác xã hội,Tổ hợp môn:,NV1: 14.00
41,Mã ngành: 608,Tên ngành: quản lí giáo dục,Tổ hợp môn:,NV1: 17.00
42,Mã ngành: 608,Tên ngành: quản lí giáo dục,Tổ hợp môn:,NV1: 14.00
43,Mã ngành: 701,Tên ngành: Sư phạm Tiếng Anh,Tổ hợp môn:,NV1: 20.00
44,Mã ngành: 751,Tên ngành: Ngôn ngữ Anh,Tổ hợp môn:,NV1: 18.00
45,Mã ngành: 901,Tên ngành: Giáo dục Tiểu học,Tổ hợp môn:,NV1: 15.00
46,Mã ngành: 902,Tên ngành: Giáo dục Mầm non,Tổ hợp môn:,NV1: 15.00
47,Mã ngành: 903,Tên ngành: Giáo dụcThể chất,Tổ hợp môn:,NV1: 23.00
48,,,,
49,,,,
50,,,,
