,0,1,2,3
0,Mã ngành: 7720101,Tên ngành: Y Đa khoa,Tổ hợp môn:,NV1: 25.50
1,Mã ngành: 7720201,Tên ngành: Y học cổ truyền,Tổ hợp môn:,NV1: 23.00
2,Mã ngành: 7720301,Tên ngành: Y tế công cộng,Tổ hợp môn:,NV1: 15.00
3,Mã ngành: 7720302,Tên ngành: Y học dự phòng,Tổ hợp môn:,NV1: 22.50
4,Mã ngành: 7720401,Tên ngành: Dược học,Tổ hợp môn:,NV1: 24.50
5,Mã ngành: 7720501,Tên ngành: Điều dưỡng,Tổ hợp môn:,NV1: 22.50
6,Mã ngành: LTD0101,Tên ngành: Bác sĩ đa khoa (LT trên 36 tháng),Tổ hợp môn:,NV1: 15.50
7,Mã ngành: LTD0101,Tên ngành: Bác sĩ đa khoa (LT dưới 36 tháng),Tổ hợp môn:,NV1: 16.50
8,Mã ngành: LTD0201,Tên ngành: Bác sĩ y học cổ truyền (LT dưới 36 tháng),Tổ hợp môn:,NV1: 18.00
9,Mã ngành: LTD0201,Tên ngành: Bác sĩ y học cổ truyền (LT trên 36 tháng),Tổ hợp môn:,NV1: 17.50
10,Mã ngành: LTD0401,Tên ngành: Dược sĩ (LT dưới 36 tháng),Tổ hợp môn:,NV1: 15.50
11,Mã ngành: LTD0401,Tên ngành: Dược sĩ (LT trên 36 tháng),Tổ hợp môn:,NV1: 13.50
