,0,1,2,3
0,Mã ngành: 7140221,Tên ngành: Sư phạm Âm nhạc (Đào tạo dân sự- đại học đào tạo 4 năm),Tổ hợp môn: N02,NV1: 15.00
1,Mã ngành: 7210203,Tên ngành: Sáng tác âm nhạc (Đào tạo dân sự- đại học đào tạo 4 năm),Tổ hợp môn: N08,NV1: 19.25
2,Mã ngành: 7210205,Tên ngành: Thanh nhạc (Đào tạo quân đội- liên thông trung cấp),Tổ hợp môn: N03,NV1: 20.50
3,Mã ngành: 7210205,Tên ngành: Thanh Nhạc (Đào tạo dân sự- đại học đào tạo 4 năm),Tổ hợp môn: N03,NV1: 16.70
4,Mã ngành: 7210205,Tên ngành: Thanh nhạc (Đào tạo dân sự- liên thông từ cao đẳng),Tổ hợp môn: N03,NV1: 19.30
5,Mã ngành: 7210207,Tên ngành: Biểu diễn nhạc cụ phương tây ( Đào tạo quân đội- liên thông từ trung cấp),Tổ hợp môn: N06,NV1: 20.50
6,Mã ngành: 7210207,Tên ngành: Biểu diễn nhạc cụ phương tây ( Đào tạo dân sự- đại học 4 năm),Tổ hợp môn: N06,NV1: 17.50
7,Mã ngành: 7210207,Tên ngành: Biểu diễn nhạc cụ phương Tây (Đào tạo dân sự- liên thông từ cao đẳng),Tổ hợp môn: N06,NV1: 19.30
8,Mã ngành: 7210210,Tên ngành: Biểu diễn nhạc cụ truyền thống,Tổ hợp môn: N07,NV1: 19.30
9,Mã ngành: 7210210,Tên ngành: Biểu diễn nhạc cụ truyền thống ( Đào tạo dân sự- đại học 4 năm),Tổ hợp môn: N07,NV1: 20.50
10,Mã ngành: 7210243,Tên ngành: Biên đạo múa ( đào tạo dân sự),Tổ hợp môn: N04,NV1: 19.00
11,Mã ngành: 7210244,Tên ngành: Huấn luyện múa ( đào tạo dân sự- đại học 4 năm),Tổ hợp môn: N05,NV1: 15.75
12,Mã ngành: 7210244,Tên ngành: Huấn luyện múa (đào tạo dân sự- liên thông từ trình độ cao đẳng),Tổ hợp môn: N05,NV1: 19.30
13,Mã ngành: 7220342,Tên ngành: Quản lý văn hóa (Đào tạo quân đội- liên thông từ trung cấp),Tổ hợp môn: N01,NV1: 20.50
14,Mã ngành: 7220342,Tên ngành: Quản lý văn hóa (Đào tạo dân sự- đại học 4 năm),Tổ hợp môn: N01,NV1: 17.00
15,Mã ngành: 7220342,Tên ngành: Quản lý văn hóa (đào tạo dân sự- liên thông từ trình độ cao đẳng),Tổ hợp môn: N01,NV1: 19.30
16,Mã ngành: 7320101,Tên ngành: Báo chí ( đào tạo dân sự- đại học 4 năm),Tổ hợp môn: C00,NV1: 22.50
17,,,,
18,,,,
