url,abbreviation,name
https://kenhtuyensinh.vn/diem-chuan-dai-hoc/dai-hoc-su-pham-the-duc-the-thao-ha-noi-u-292,TDH, Đại Học Sư Phạm Thể Dục Thể Thao Hà Nội
https://kenhtuyensinh.vn/diem-chuan-dai-hoc/dai-hoc-cong-nghiep-vinh-u-25,DCV, Đại học Công nghiệp Vinh
https://kenhtuyensinh.vn/diem-chuan-dai-hoc/dai-hoc-thanh-dong-u-26,DDB, Đại Học Thành Đông
https://kenhtuyensinh.vn/diem-chuan-dai-hoc/dai-hoc-ngoai-ngu-dai-hoc-da-nang-u-29,DDF, Đại Học Ngoại Ngữ – Đại Học Đà Nẵng
https://kenhtuyensinh.vn/diem-chuan-dai-hoc/dai-hoc-bach-khoa-dai-hoc-da-nang-u-31,DDK, Đại Học Bách Khoa – Đại Học Đà Nẵng
https://kenhtuyensinh.vn/diem-chuan-dai-hoc/dai-hoc-dien-luc-u-32,DDL, Đại Học Điện Lực
https://kenhtuyensinh.vn/diem-chuan-dai-hoc/dai-hoc-cong-nghiep-quang-ninh-u-33,DDM, Đại Học Công Nghiệp Quảng Ninh
https://kenhtuyensinh.vn/diem-chuan-dai-hoc/dai-hoc-dai-nam-u-34,DDN, Đại Học Đại Nam
https://kenhtuyensinh.vn/diem-chuan-dai-hoc/phan-hieu-dai-hoc-da-nang-tai-kon-tum-u-35,DDP, Phân Hiệu Đại Học Đà Nẵng tại Kon Tum
https://kenhtuyensinh.vn/diem-chuan-dai-hoc/dai-hoc-su-pham-dai-hoc-da-nang-u-37,DDS, Đại Học Sư Phạm – Đại Học Đà Nẵng
https://kenhtuyensinh.vn/diem-chuan-dai-hoc/khoa-y-duoc-dai-hoc-da-nang-u-39,DDY, Khoa Y Dược – Đại Học Đà Nẵng
https://kenhtuyensinh.vn/diem-chuan-dai-hoc/dai-hoc-tai-chinh-quan-tri-kinh-doanh-u-40,DFA, Đại học Tài Chính – Quản Trị Kinh Doanh
https://kenhtuyensinh.vn/diem-chuan-dai-hoc/dai-hoc-luat--dai-hoc-hue-u-41,DHA, Đại học Luật - Đại Học Huế
https://kenhtuyensinh.vn/diem-chuan-dai-hoc/khoa-giao-duc-the-chat-dai-hoc-hue-u-42,DHC, Khoa Giáo Dục Thể Chất – Đại Học Huế
https://kenhtuyensinh.vn/diem-chuan-dai-hoc/khoa-du-lich-dai-hoc-hue-u-43,DHD, Khoa Du Lịch – Đại Học Huế
https://kenhtuyensinh.vn/diem-chuan-dai-hoc/dai-hoc-ngoai-ngu-dai-hoc-hue-u-44,DHF, Đại Học Ngoại Ngữ – Đại Học Huế
https://kenhtuyensinh.vn/diem-chuan-dai-hoc/dai-hoc-kinh-te-dai-hoc-hue-u-45,DHK, Đại Học Kinh Tế – Đại Học Huế
https://kenhtuyensinh.vn/diem-chuan-dai-hoc/dai-hoc-nong-lam-dai-hoc-hue-u-46,DHL, Đại Học Nông Lâm – Đại Học Huế
https://kenhtuyensinh.vn/diem-chuan-dai-hoc/dai-hoc-nghe-thuat-dai-hoc-hue-u-47,DHN, Đại Học Nghệ Thuật – Đại Học Huế
https://kenhtuyensinh.vn/diem-chuan-dai-hoc/phan-hieu-dai-hoc-hue-tai-quang-tri-u-49,DHQ, Phân Hiệu Đại Học Huế tại Quảng Trị
https://kenhtuyensinh.vn/diem-chuan-dai-hoc/dai-hoc-su-pham-dai-hoc-hue-u-50,DHS, Đại Học Sư Phạm – Đại Học Huế
https://kenhtuyensinh.vn/diem-chuan-dai-hoc/dai-hoc-khoa-hoc-dai-hoc-hue-u-51,DHT, Đại Học Khoa Học – Đại Học Huế
